forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f3,1,20-Year Plan For District 9-8848,Design Year,00:00:00,23:59:59,volume,51950
f3,1,20-Year Plan For District 9-8849,Design Year,00:00:00,23:59:59,volume,51950
f3,1,20-Year Plan For District 9-8850,Design Year,00:00:00,23:59:59,volume,69300
f3,1,20-Year Plan For District 9-8851,Design Year,00:00:00,23:59:59,volume,69300
f3,1,20-Year Plan For District 9-8852,Design Year,00:00:00,23:59:59,volume,64176
f3,1,20-Year Plan For District 9-8853,Design Year,00:00:00,23:59:59,volume,64176
f3,1,20-Year Plan For District 9-8854,Design Year,00:00:00,23:59:59,volume,48055
f3,1,20-Year Plan For District 9-8855,Design Year,00:00:00,23:59:59,volume,48055
f3,1,20-Year Plan For District 9-8856,Design Year,00:00:00,23:59:59,volume,52478
f3,1,20-Year Plan For District 9-8857,Design Year,00:00:00,23:59:59,volume,52478
f3,1,20-Year Plan For District 9-8858,Design Year,00:00:00,23:59:59,volume,43449
f3,1,20-Year Plan For District 9-8859,Design Year,00:00:00,23:59:59,volume,43449
f3,1,20-Year Plan For District 9-8860,Design Year,00:00:00,23:59:59,volume,38648
f3,1,20-Year Plan For District 9-8861,Design Year,00:00:00,23:59:59,volume,38648
f3,1,20-Year Plan For District 9-8862,Design Year,00:00:00,23:59:59,volume,15183
f3,1,20-Year Plan For District 9-8863,Design Year,00:00:00,23:59:59,volume,15183
