obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
DEIS TH 610/TH 252-8722.0-1,DEIS TH 610/TH 252-8722.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8722.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,29000
DEIS TH 610/TH 252-8723.0-1,DEIS TH 610/TH 252-8723.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8723.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,29000
DEIS TH 610/TH 252-8724.0-1,DEIS TH 610/TH 252-8724.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8724.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,25000
DEIS TH 610/TH 252-8725.0-1,DEIS TH 610/TH 252-8725.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8725.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,25000
DEIS TH 610/TH 252-8726.0-1,DEIS TH 610/TH 252-8726.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8726.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,25500
DEIS TH 610/TH 252-8727.0-1,DEIS TH 610/TH 252-8727.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8727.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,25500
DEIS TH 610/TH 252-8728.0-1,DEIS TH 610/TH 252-8728.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8728.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,28000
DEIS TH 610/TH 252-8729.0-1,DEIS TH 610/TH 252-8729.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8729.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,28000
DEIS TH 610/TH 252-8730.0-1,DEIS TH 610/TH 252-8730.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8730.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,28500
DEIS TH 610/TH 252-8731.0-1,DEIS TH 610/TH 252-8731.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8731.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,28500
DEIS TH 610/TH 252-8732.0-1,DEIS TH 610/TH 252-8732.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8732.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,38500
DEIS TH 610/TH 252-8733.0-1,DEIS TH 610/TH 252-8733.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8733.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,38500
DEIS TH 610/TH 252-8734.0-1,DEIS TH 610/TH 252-8734.0,Design-Year-Forecast-poi-DEIS TH 610/TH 252-8734.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,38500
