obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
FEIS New U.S. Hwy 10-8600-1,FEIS New U.S. Hwy 10-8600,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,40500
FEIS New U.S. Hwy 10-8601-1,FEIS New U.S. Hwy 10-8601,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,40500
FEIS New U.S. Hwy 10-8602-1,FEIS New U.S. Hwy 10-8602,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,22500
FEIS New U.S. Hwy 10-8603-1,FEIS New U.S. Hwy 10-8603,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,22500
FEIS New U.S. Hwy 10-8604-1,FEIS New U.S. Hwy 10-8604,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,30000
FEIS New U.S. Hwy 10-8605-1,FEIS New U.S. Hwy 10-8605,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,30000
FEIS New U.S. Hwy 10-8606-1,FEIS New U.S. Hwy 10-8606,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,30500
FEIS New U.S. Hwy 10-8607-1,FEIS New U.S. Hwy 10-8607,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,30500
FEIS New U.S. Hwy 10-8608-1,FEIS New U.S. Hwy 10-8608,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,31000
FEIS New U.S. Hwy 10-8609-1,FEIS New U.S. Hwy 10-8609,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,31000
FEIS New U.S. Hwy 10-8610-1,FEIS New U.S. Hwy 10-8610,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,35500
FEIS New U.S. Hwy 10-8611-1,FEIS New U.S. Hwy 10-8611,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,35500
FEIS New U.S. Hwy 10-8612-1,FEIS New U.S. Hwy 10-8612,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,59000
FEIS New U.S. Hwy 10-8613-1,FEIS New U.S. Hwy 10-8613,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,59000
FEIS New U.S. Hwy 10-8614-1,FEIS New U.S. Hwy 10-8614,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,52000
FEIS New U.S. Hwy 10-8615-1,FEIS New U.S. Hwy 10-8615,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,52000
FEIS New U.S. Hwy 10-8616-1,FEIS New U.S. Hwy 10-8616,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,21500
FEIS New U.S. Hwy 10-8617-1,FEIS New U.S. Hwy 10-8617,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,21500
FEIS New U.S. Hwy 10-8618-1,FEIS New U.S. Hwy 10-8618,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,30000
FEIS New U.S. Hwy 10-8619-1,FEIS New U.S. Hwy 10-8619,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,30000
FEIS New U.S. Hwy 10-8620-1,FEIS New U.S. Hwy 10-8620,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,13250
FEIS New U.S. Hwy 10-8621-1,FEIS New U.S. Hwy 10-8621,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,13250
FEIS New U.S. Hwy 10-8622-1,FEIS New U.S. Hwy 10-8622,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,13250
FEIS New U.S. Hwy 10-8623-1,FEIS New U.S. Hwy 10-8623,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,13250
