poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
FEIS US-12/I-394-8758,   US-12 (I-394)West of SR-101(Central Ave. N.)\EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12 (I-394)West of SR-101(Central Ave. N.)\EB
FEIS US-12/I-394-8759,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8760,   US-12East of SR-101(Central Ave. N.)West of Gleason Lake Rd.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of SR-101(Central Ave. N.)West of Gleason Lake Rd.EB
FEIS US-12/I-394-8761,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8762,   US-12East of Gleason Lake Rd.West of Crosby Rd.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of Gleason Lake Rd.West of Crosby Rd.EB
FEIS US-12/I-394-8763,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8764,   US-12East of Crosby Rd.West of I-494EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of Crosby Rd.West of I-494EB
FEIS US-12/I-394-8765,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8766,   US-12East of I-494West of Plymouth Rd.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of I-494West of Plymouth Rd.EB
FEIS US-12/I-394-8767,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8768,   US-12East of Plymouth Rd.West of Ridgedale Dr.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of Plymouth Rd.West of Ridgedale Dr.EB
FEIS US-12/I-394-8769,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8770,   US-12East of Ridgedale Dr.West of CR 73(Hopkins Crossroad)EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of Ridgedale Dr.West of CR 73(Hopkins Crossroad)EB
FEIS US-12/I-394-8771,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8772,   US-12East of CR-73(Hopkins Crossroad)West of CR-18(US-169)EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of CR-73(Hopkins Crossroad)West of CR-18(US-169)EB
FEIS US-12/I-394-8773,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8774,   US-12East of CR-18(US-169)West of Boone Ave.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of CR-18(US-169)West of Boone Ave.EB
FEIS US-12/I-394-8775,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8776,   US-12East of Louisiana Ave.Xenia Ave.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of Louisiana Ave.Xenia Ave.EB
FEIS US-12/I-394-8777,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8778,   US-12East of Xenia Ave.West of SR-100EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of Xenia Ave.West of SR-100EB
FEIS US-12/I-394-8779,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8780,   US-12East of SR-100West of Theodore Wirth Pkwy.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of SR-100West of Theodore Wirth Pkwy.EB
FEIS US-12/I-394-8781,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8782,   US-12East of Penn Ave.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12East of Penn Ave.EB
FEIS US-12/I-394-8783,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8784,   US-12West of I-94EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   US-12West of I-94EB
FEIS US-12/I-394-8785,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8786,   I-494North of US-12NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-494North of US-12NB
FEIS US-12/I-394-8787,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
FEIS US-12/I-394-8788,   I-494South of US-12NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-494South of US-12NB
FEIS US-12/I-394-8789,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
FEIS US-12/I-394-8790,   SR-7East of CR-73(Hopkins Crossroad)West of Oak Ridge Rd.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-7East of CR-73(Hopkins Crossroad)West of Oak Ridge Rd.EB
FEIS US-12/I-394-8791,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8792,   SR-7East of Oak Ridge Rd.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-7East of Oak Ridge Rd.EB
FEIS US-12/I-394-8793,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8794,   SR-7East of US-169West of Texas Ave.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-7East of US-169West of Texas Ave.EB
FEIS US-12/I-394-8795,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8796,   SR-7East of Texas Ave.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-7East of Texas Ave.EB
FEIS US-12/I-394-8797,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8798,   SR-7East of Lake St.West of SR-100EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-7East of Lake St.West of SR-100EB
FEIS US-12/I-394-8799,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8800,   SR-7East of SR-100South of Minnetonka Blvd.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-7East of SR-100South of Minnetonka Blvd.EB
FEIS US-12/I-394-8801,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8802,   SR-7West of CE-17(South of Minnetonka Blvd.)East of Excelsior Blvd.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-7West of CE-17(South of Minnetonka Blvd.)East of Excelsior Blvd.EB
FEIS US-12/I-394-8803,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8804,   CR-18 (Now known as US-169)North of SR-55NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   CR-18 (Now known as US-169)North of SR-55NB
FEIS US-12/I-394-8805,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
FEIS US-12/I-394-8806,   CR-18 (Now known as US-169)South of SR-55North of Betty Crocker Dr.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   CR-18 (Now known as US-169)South of SR-55North of Betty Crocker Dr.NB
FEIS US-12/I-394-8807,   NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   NB
FEIS US-12/I-394-8808,   CR-18 (Now known as US-169)South of Betty Crocker Dr.North of US-12NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   CR-18 (Now known as US-169)South of Betty Crocker Dr.North of US-12NB
FEIS US-12/I-394-8809,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
FEIS US-12/I-394-8810,   CR-18 (Now known as US-169)South of US-12North of CR-16 (Cedar Lake Rd.)NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   CR-18 (Now known as US-169)South of US-12North of CR-16 (Cedar Lake Rd.)NB
FEIS US-12/I-394-8811,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
FEIS US-12/I-394-8812,   CR-18 (Now known as US-169)South of CR-16North of Minnetonka Blvd.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   CR-18 (Now known as US-169)South of CR-16North of Minnetonka Blvd.NB
FEIS US-12/I-394-8813,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
FEIS US-12/I-394-8814,   CR-18 (Now known as US-169)South of Minnetonka Blvd.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   CR-18 (Now known as US-169)South of Minnetonka Blvd.NB
FEIS US-12/I-394-8815,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
FEIS US-12/I-394-8816,   SR-55West of CR-18(US-169)EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-55West of CR-18(US-169)EB
FEIS US-12/I-394-8817,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8818,   SR-55East of CR-18(US-169)West of Boone Ave.EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-55East of CR-18(US-169)West of Boone Ave.EB
FEIS US-12/I-394-8819,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
FEIS US-12/I-394-8820,   SR-55East of Boone Ave.West of Winnetka Ave. NEB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SR-55East of Boone Ave.West of Winnetka Ave. NEB
FEIS US-12/I-394-8821,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
