poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
PSU 3203A-8101.0," , TH 101West Of SAR 13EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 101West Of SAR 13EB"
PSU 3203A-8102.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
PSU 3203A-8103.0," , TH 101East Of SAR 13West Of SAR 19EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 101East Of SAR 13West Of SAR 19EB"
PSU 3203A-8104.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
PSU 3203A-8105.0," , TH 101East Of SAR 19West Of TH 13EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 101East Of SAR 19West Of TH 13EB"
PSU 3203A-8106.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
PSU 3203A-8107.0," , TH 101East Of TH 13West Of Township RoadEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 101East Of TH 13West Of Township RoadEB"
PSU 3203A-8108.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
PSU 3203A-8109.0," , TH 13South Of TH 101NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13South Of TH 101NB"
PSU 3203A-8110.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
