forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-SPAR-202A-7282.0,Design-Year-Model-Run,SPAR-202A-7282.0,Design-Year-Forecast-poi-SPAR-202A-7282.0,00:00:00,23:59:59,volume,13500
Design-Year-SPAR-202A-7283.0,Design-Year-Model-Run,SPAR-202A-7283.0,Design-Year-Forecast-poi-SPAR-202A-7283.0,00:00:00,23:59:59,volume,13500
Design-Year-SPAR-202A-7284.0,Design-Year-Model-Run,SPAR-202A-7284.0,Design-Year-Forecast-poi-SPAR-202A-7284.0,00:00:00,23:59:59,volume,11000
Design-Year-SPAR-202A-7285.0,Design-Year-Model-Run,SPAR-202A-7285.0,Design-Year-Forecast-poi-SPAR-202A-7285.0,00:00:00,23:59:59,volume,11000
Design-Year-SPAR-202A-7286.0,Design-Year-Model-Run,SPAR-202A-7286.0,Design-Year-Forecast-poi-SPAR-202A-7286.0,00:00:00,23:59:59,volume,15000
Design-Year-SPAR-202A-7287.0,Design-Year-Model-Run,SPAR-202A-7287.0,Design-Year-Forecast-poi-SPAR-202A-7287.0,00:00:00,23:59:59,volume,15000
Design-Year-SPAR-202A-7288.0,Design-Year-Model-Run,SPAR-202A-7288.0,Design-Year-Forecast-poi-SPAR-202A-7288.0,00:00:00,23:59:59,volume,22750
Design-Year-SPAR-202A-7289.0,Design-Year-Model-Run,SPAR-202A-7289.0,Design-Year-Forecast-poi-SPAR-202A-7289.0,00:00:00,23:59:59,volume,22750
Design-Year-SPAR-202A-7290.0,Design-Year-Model-Run,SPAR-202A-7290.0,Design-Year-Forecast-poi-SPAR-202A-7290.0,00:00:00,23:59:59,volume,21950
Design-Year-SPAR-202A-7291.0,Design-Year-Model-Run,SPAR-202A-7291.0,Design-Year-Forecast-poi-SPAR-202A-7291.0,00:00:00,23:59:59,volume,21950
Design-Year-SPAR-202A-7292.0,Design-Year-Model-Run,SPAR-202A-7292.0,Design-Year-Forecast-poi-SPAR-202A-7292.0,00:00:00,23:59:59,volume,25900
Design-Year-SPAR-202A-7293.0,Design-Year-Model-Run,SPAR-202A-7293.0,Design-Year-Forecast-poi-SPAR-202A-7293.0,00:00:00,23:59:59,volume,25900
Design-Year-SPAR-202A-7294.0,Design-Year-Model-Run,SPAR-202A-7294.0,Design-Year-Forecast-poi-SPAR-202A-7294.0,00:00:00,23:59:59,volume,15700
