forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f3,1,SPAR-215-7254,Design Year,00:00:00,24:00,volume,57000
f3,1,SPAR-215-7255,Design Year,00:00:00,24:00,volume,57000
f3,1,SPAR-215-7256,Design Year,00:00:00,24:00,volume,52000
f3,1,SPAR-215-7257,Design Year,00:00:00,24:00,volume,52000
f3,1,SPAR-215-7258,Design Year,00:00:00,24:00,volume,50500
f3,1,SPAR-215-7259,Design Year,00:00:00,24:00,volume,50500
f3,1,SPAR-215-7260,Design Year,00:00:00,24:00,volume,31500
f3,1,SPAR-215-7261,Design Year,00:00:00,24:00,volume,31500
f3,1,SPAR-215-7262,Design Year,00:00:00,24:00,volume,30100
f3,1,SPAR-215-7263,Design Year,00:00:00,24:00,volume,30100
f3,1,SPAR-215-7264,Design Year,00:00:00,24:00,volume,35600
f3,1,SPAR-215-7265,Design Year,00:00:00,24:00,volume,35600
f3,1,SPAR-215-7266,Design Year,00:00:00,24:00,volume,31750
f3,1,SPAR-215-7267,Design Year,00:00:00,24:00,volume,31750
f3,1,SPAR-215-7268,Design Year,00:00:00,24:00,volume,31950
f3,1,SPAR-215-7269,Design Year,00:00:00,24:00,volume,31950
f3,1,SPAR-215-7270,Design Year,00:00:00,24:00,volume,28650
f3,1,SPAR-215-7271,Design Year,00:00:00,24:00,volume,28650
f3,1,SPAR-215-7272,Design Year,00:00:00,24:00,volume,44200
f3,1,SPAR-215-7273,Design Year,00:00:00,24:00,volume,44200
f3,1,SPAR-215-7274,Design Year,00:00:00,24:00,volume,42900
f3,1,SPAR-215-7275,Design Year,00:00:00,24:00,volume,42900
f3,1,SPAR-215-7276,Design Year,00:00:00,24:00,volume,41500
f3,1,SPAR-215-7277,Design Year,00:00:00,24:00,volume,41500
f3,1,SPAR-215-7278,Design Year,00:00:00,24:00,volume,41600
f3,1,SPAR-215-7279,Design Year,00:00:00,24:00,volume,41600
f3,1,SPAR-215-7280,Design Year,00:00:00,24:00,volume,41600
f3,1,SPAR-215-7281,Design Year,00:00:00,24:00,volume,41600
