obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
SPAR-215-7254.0-1,SPAR-215-7254.0,Design-Year-Forecast-poi-SPAR-215-7254.0,unknown,unknown,0,00:00:00,23:59:59,volume,75000
SPAR-215-7255.0-1,SPAR-215-7255.0,Design-Year-Forecast-poi-SPAR-215-7255.0,unknown,unknown,0,00:00:00,23:59:59,volume,75000
SPAR-215-7256.0-1,SPAR-215-7256.0,Design-Year-Forecast-poi-SPAR-215-7256.0,unknown,unknown,0,00:00:00,23:59:59,volume,76500
SPAR-215-7257.0-1,SPAR-215-7257.0,Design-Year-Forecast-poi-SPAR-215-7257.0,unknown,unknown,0,00:00:00,23:59:59,volume,76500
SPAR-215-7258.0-1,SPAR-215-7258.0,Design-Year-Forecast-poi-SPAR-215-7258.0,unknown,unknown,0,00:00:00,23:59:59,volume,77500
SPAR-215-7259.0-1,SPAR-215-7259.0,Design-Year-Forecast-poi-SPAR-215-7259.0,unknown,unknown,0,00:00:00,23:59:59,volume,77500
SPAR-215-7260.0-1,SPAR-215-7260.0,Design-Year-Forecast-poi-SPAR-215-7260.0,unknown,unknown,0,00:00:00,23:59:59,volume,46500
SPAR-215-7261.0-1,SPAR-215-7261.0,Design-Year-Forecast-poi-SPAR-215-7261.0,unknown,unknown,0,00:00:00,23:59:59,volume,46500
SPAR-215-7262.0-1,SPAR-215-7262.0,Design-Year-Forecast-poi-SPAR-215-7262.0,unknown,unknown,0,00:00:00,23:59:59,volume,45000
SPAR-215-7263.0-1,SPAR-215-7263.0,Design-Year-Forecast-poi-SPAR-215-7263.0,unknown,unknown,0,00:00:00,23:59:59,volume,45000
SPAR-215-7264.0-1,SPAR-215-7264.0,Design-Year-Forecast-poi-SPAR-215-7264.0,unknown,unknown,0,00:00:00,23:59:59,volume,47000
SPAR-215-7265.0-1,SPAR-215-7265.0,Design-Year-Forecast-poi-SPAR-215-7265.0,unknown,unknown,0,00:00:00,23:59:59,volume,47000
SPAR-215-7266.0-1,SPAR-215-7266.0,Design-Year-Forecast-poi-SPAR-215-7266.0,unknown,unknown,0,00:00:00,23:59:59,volume,47000
SPAR-215-7267.0-1,SPAR-215-7267.0,Design-Year-Forecast-poi-SPAR-215-7267.0,unknown,unknown,0,00:00:00,23:59:59,volume,47000
SPAR-215-7268.0-1,SPAR-215-7268.0,Design-Year-Forecast-poi-SPAR-215-7268.0,unknown,unknown,0,00:00:00,23:59:59,volume,41500
SPAR-215-7269.0-1,SPAR-215-7269.0,Design-Year-Forecast-poi-SPAR-215-7269.0,unknown,unknown,0,00:00:00,23:59:59,volume,41500
SPAR-215-7270.0-1,SPAR-215-7270.0,Design-Year-Forecast-poi-SPAR-215-7270.0,unknown,unknown,0,00:00:00,23:59:59,volume,36000
SPAR-215-7271.0-1,SPAR-215-7271.0,Design-Year-Forecast-poi-SPAR-215-7271.0,unknown,unknown,0,00:00:00,23:59:59,volume,36000
SPAR-215-7272.0-1,SPAR-215-7272.0,Design-Year-Forecast-poi-SPAR-215-7272.0,unknown,unknown,0,00:00:00,23:59:59,volume,47500
SPAR-215-7273.0-1,SPAR-215-7273.0,Design-Year-Forecast-poi-SPAR-215-7273.0,unknown,unknown,0,00:00:00,23:59:59,volume,47500
SPAR-215-7274.0-1,SPAR-215-7274.0,Design-Year-Forecast-poi-SPAR-215-7274.0,unknown,unknown,0,00:00:00,23:59:59,volume,46000
SPAR-215-7275.0-1,SPAR-215-7275.0,Design-Year-Forecast-poi-SPAR-215-7275.0,unknown,unknown,0,00:00:00,23:59:59,volume,46000
SPAR-215-7276.0-1,SPAR-215-7276.0,Design-Year-Forecast-poi-SPAR-215-7276.0,unknown,unknown,0,00:00:00,23:59:59,volume,44500
SPAR-215-7277.0-1,SPAR-215-7277.0,Design-Year-Forecast-poi-SPAR-215-7277.0,unknown,unknown,0,00:00:00,23:59:59,volume,44500
SPAR-215-7278.0-1,SPAR-215-7278.0,Design-Year-Forecast-poi-SPAR-215-7278.0,unknown,unknown,0,00:00:00,23:59:59,volume,42500
SPAR-215-7279.0-1,SPAR-215-7279.0,Design-Year-Forecast-poi-SPAR-215-7279.0,unknown,unknown,0,00:00:00,23:59:59,volume,42500
SPAR-215-7280.0-1,SPAR-215-7280.0,Design-Year-Forecast-poi-SPAR-215-7280.0,unknown,unknown,0,00:00:00,23:59:59,volume,42500
SPAR-215-7281.0-1,SPAR-215-7281.0,Design-Year-Forecast-poi-SPAR-215-7281.0,unknown,unknown,0,00:00:00,23:59:59,volume,42500
