poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
SPAR-220-7107.0," , SnellingSouth of MarshallNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SnellingSouth of MarshallNB"
SPAR-220-7108.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPAR-220-7109.0," , SnellingBetween MarshallNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SnellingBetween MarshallNB"
SPAR-220-7110.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPAR-220-7111.0," , SnellingNorth of MarshallNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SnellingNorth of MarshallNB"
SPAR-220-7112.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPAR-220-7113.0," , MarshallWest of SnellingEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , MarshallWest of SnellingEB"
SPAR-220-7114.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
SPAR-220-7115.0," , MarshallBetween SnellingEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , MarshallBetween SnellingEB"
SPAR-220-7116.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
SPAR-220-7117.0," , MarshallEast of SnellingEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , MarshallEast of SnellingEB"
SPAR-220-7118.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
