forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f3,1,SPARS 17-8321,Design Year,00:00:00,23:59:59,volume,16900
f3,1,SPARS 17-8322,Design Year,00:00:00,23:59:59,volume,16900
f3,1,SPARS 17-8323,Design Year,00:00:00,23:59:59,volume,5900
f3,1,SPARS 17-8324,Design Year,00:00:00,23:59:59,volume,5900
f3,1,SPARS 17-8325,Design Year,00:00:00,23:59:59,volume,5800
f3,1,SPARS 17-8326,Design Year,00:00:00,23:59:59,volume,5800
f3,1,SPARS 17-8327,Design Year,00:00:00,23:59:59,volume,5700
f3,1,SPARS 17-8328,Design Year,00:00:00,23:59:59,volume,5700
f3,1,SPARS 17-8329,Design Year,00:00:00,23:59:59,volume,5600
f3,1,SPARS 17-8330,Design Year,00:00:00,23:59:59,volume,5600
f3,1,SPARS 17-8331,Design Year,00:00:00,23:59:59,volume,5500
f3,1,SPARS 17-8332,Design Year,00:00:00,23:59:59,volume,5500
f3,1,SPARS 17-8333,Design Year,00:00:00,23:59:59,volume,5400
f3,1,SPARS 17-8334,Design Year,00:00:00,23:59:59,volume,5400
f3,1,SPARS 17-8335,Design Year,00:00:00,23:59:59,volume,5100
f3,1,SPARS 17-8336,Design Year,00:00:00,23:59:59,volume,5100
f3,1,SPARS 17-8337,Design Year,00:00:00,23:59:59,volume,3600
f3,1,SPARS 17-8338,Design Year,00:00:00,23:59:59,volume,3600
