obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
SPARS 18-8339-1,SPARS 18-8339,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,8675
SPARS 18-8340-1,SPARS 18-8340,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,8675
SPARS 18-8341-1,SPARS 18-8341,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,9325
SPARS 18-8342-1,SPARS 18-8342,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,9325
SPARS 18-8343-1,SPARS 18-8343,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,8075
SPARS 18-8344-1,SPARS 18-8344,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,8075
SPARS 18-8345-1,SPARS 18-8345,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,6375
SPARS 18-8346-1,SPARS 18-8346,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,6375
SPARS 18-8347-1,SPARS 18-8347,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,6375
SPARS 18-8348-1,SPARS 18-8348,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,6375
SPARS 18-8349-1,SPARS 18-8349,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,5500
SPARS 18-8350-1,SPARS 18-8350,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,5500
SPARS 18-8351-1,SPARS 18-8351,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,5875
SPARS 18-8352-1,SPARS 18-8352,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,5875
SPARS 18-8353-1,SPARS 18-8353,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,18125
SPARS 18-8354-1,SPARS 18-8354,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,18125
SPARS 18-8355-1,SPARS 18-8355,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,20250
SPARS 18-8356-1,SPARS 18-8356,Design Year,unknown,unknown,1985,00:00:00,00:00:00,volume,20250
