poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
SPARS 2A-8235,   TH 212West Of TH 120EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 212West Of TH 120EB
SPARS 2A-8236,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
SPARS 2A-8237,   TH 212East Of TH 120West Of I-694EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 212East Of TH 120West Of I-694EB
SPARS 2A-8238,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
SPARS 2A-8239,   TH 212East Of I-694West Of CSAH 13EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 212East Of I-694West Of CSAH 13EB
SPARS 2A-8240,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
SPARS 2A-8241,   TH 212East Of CSAH 13West Of Proposed CSAH 19EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 212East Of CSAH 13West Of Proposed CSAH 19EB
SPARS 2A-8242,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
SPARS 2A-8243,   TH 212East Of Proposed CSAH 19EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 212East Of Proposed CSAH 19EB
SPARS 2A-8244,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
SPARS 2A-8245,   I-694North of Country Road BNB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-694North of Country Road BNB
SPARS 2A-8246,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 2A-8247,   I-694South Of County Road BNorth Of TH 212NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-694South Of County Road BNorth Of TH 212NB
SPARS 2A-8248,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 2A-8249,   I-694South TH 212NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-694South TH 212NB
SPARS 2A-8250,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
