forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-SPARS 2-8221.0,Design-Year-Model-Run,SPARS 2-8221.0,Design-Year-Forecast-poi-SPARS 2-8221.0,00:00:00,23:59:59,volume,11350
Design-Year-SPARS 2-8222.0,Design-Year-Model-Run,SPARS 2-8222.0,Design-Year-Forecast-poi-SPARS 2-8222.0,00:00:00,23:59:59,volume,11350
Design-Year-SPARS 2-8223.0,Design-Year-Model-Run,SPARS 2-8223.0,Design-Year-Forecast-poi-SPARS 2-8223.0,00:00:00,23:59:59,volume,10300
Design-Year-SPARS 2-8224.0,Design-Year-Model-Run,SPARS 2-8224.0,Design-Year-Forecast-poi-SPARS 2-8224.0,00:00:00,23:59:59,volume,10300
Design-Year-SPARS 2-8225.0,Design-Year-Model-Run,SPARS 2-8225.0,Design-Year-Forecast-poi-SPARS 2-8225.0,00:00:00,23:59:59,volume,12900
Design-Year-SPARS 2-8226.0,Design-Year-Model-Run,SPARS 2-8226.0,Design-Year-Forecast-poi-SPARS 2-8226.0,00:00:00,23:59:59,volume,12900
Design-Year-SPARS 2-8227.0,Design-Year-Model-Run,SPARS 2-8227.0,Design-Year-Forecast-poi-SPARS 2-8227.0,00:00:00,23:59:59,volume,10100
Design-Year-SPARS 2-8228.0,Design-Year-Model-Run,SPARS 2-8228.0,Design-Year-Forecast-poi-SPARS 2-8228.0,00:00:00,23:59:59,volume,10100
Design-Year-SPARS 2-8229.0,Design-Year-Model-Run,SPARS 2-8229.0,Design-Year-Forecast-poi-SPARS 2-8229.0,00:00:00,23:59:59,volume,19600
Design-Year-SPARS 2-8230.0,Design-Year-Model-Run,SPARS 2-8230.0,Design-Year-Forecast-poi-SPARS 2-8230.0,00:00:00,23:59:59,volume,19600
Design-Year-SPARS 2-8231.0,Design-Year-Model-Run,SPARS 2-8231.0,Design-Year-Forecast-poi-SPARS 2-8231.0,00:00:00,23:59:59,volume,22300
Design-Year-SPARS 2-8232.0,Design-Year-Model-Run,SPARS 2-8232.0,Design-Year-Forecast-poi-SPARS 2-8232.0,00:00:00,23:59:59,volume,22300
Design-Year-SPARS 2-8233.0,Design-Year-Model-Run,SPARS 2-8233.0,Design-Year-Forecast-poi-SPARS 2-8233.0,00:00:00,23:59:59,volume,23700
Design-Year-SPARS 2-8234.0,Design-Year-Model-Run,SPARS 2-8234.0,Design-Year-Forecast-poi-SPARS 2-8234.0,00:00:00,23:59:59,volume,23700
