poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
SPARS 33-8383.0," , TH 51South of Concordia Ave.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 51South of Concordia Ave.NB"
SPARS 33-8384.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPARS 33-8385.0," , I-94West of TH 51EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94West of TH 51EB"
SPARS 33-8386.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
SPARS 33-8387.0," , I-94East of TH 51West of Concordia Ave. rampEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94East of TH 51West of Concordia Ave. rampEB"
SPARS 33-8388.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
SPARS 33-8389.0," , I-94East of Concordia Ave. RampEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94East of Concordia Ave. RampEB"
SPARS 33-8390.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
SPARS 33-8391.0," , TH 51North of I-94NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 51North of I-94NB"
SPARS 33-8392.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPARS 33-8393.0," , TH 51South Of University Ave.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 51South Of University Ave.NB"
SPARS 33-8394.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPARS 33-8395.0," , TH 51North Of University Ave.South of Thomas Ave.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 51North Of University Ave.South of Thomas Ave.NB"
SPARS 33-8396.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPARS 33-8397.0," , TH 51North of Thomas Ave.South of Minnehaha Ave.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 51North of Thomas Ave.South of Minnehaha Ave.NB"
SPARS 33-8398.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPARS 33-8399.0," , TH 51North of Minnehaha Ave.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 51North of Minnehaha Ave.NB"
SPARS 33-8400.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
SPARS 33-8401.0," , TH 51North of Pierce-Butler RouteSouth of G.N.RY.NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 51North of Pierce-Butler RouteSouth of G.N.RY.NB"
SPARS 33-8402.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
