forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-SPARS 3-8251.0,Design-Year-Model-Run,SPARS 3-8251.0,Design-Year-Forecast-poi-SPARS 3-8251.0,00:00:00,23:59:59,volume,14300
Design-Year-SPARS 3-8252.0,Design-Year-Model-Run,SPARS 3-8252.0,Design-Year-Forecast-poi-SPARS 3-8252.0,00:00:00,23:59:59,volume,14300
Design-Year-SPARS 3-8253.0,Design-Year-Model-Run,SPARS 3-8253.0,Design-Year-Forecast-poi-SPARS 3-8253.0,00:00:00,23:59:59,volume,6500
Design-Year-SPARS 3-8254.0,Design-Year-Model-Run,SPARS 3-8254.0,Design-Year-Forecast-poi-SPARS 3-8254.0,00:00:00,23:59:59,volume,6500
Design-Year-SPARS 3-8255.0,Design-Year-Model-Run,SPARS 3-8255.0,Design-Year-Forecast-poi-SPARS 3-8255.0,00:00:00,23:59:59,volume,8100
Design-Year-SPARS 3-8256.0,Design-Year-Model-Run,SPARS 3-8256.0,Design-Year-Forecast-poi-SPARS 3-8256.0,00:00:00,23:59:59,volume,8100
Design-Year-SPARS 3-8257.0,Design-Year-Model-Run,SPARS 3-8257.0,Design-Year-Forecast-poi-SPARS 3-8257.0,00:00:00,23:59:59,volume,6100
Design-Year-SPARS 3-8258.0,Design-Year-Model-Run,SPARS 3-8258.0,Design-Year-Forecast-poi-SPARS 3-8258.0,00:00:00,23:59:59,volume,6100
Design-Year-SPARS 3-8259.0,Design-Year-Model-Run,SPARS 3-8259.0,Design-Year-Forecast-poi-SPARS 3-8259.0,00:00:00,23:59:59,volume,8000
Design-Year-SPARS 3-8260.0,Design-Year-Model-Run,SPARS 3-8260.0,Design-Year-Forecast-poi-SPARS 3-8260.0,00:00:00,23:59:59,volume,8000
Design-Year-SPARS 3-8261.0,Design-Year-Model-Run,SPARS 3-8261.0,Design-Year-Forecast-poi-SPARS 3-8261.0,00:00:00,23:59:59,volume,8100
Design-Year-SPARS 3-8262.0,Design-Year-Model-Run,SPARS 3-8262.0,Design-Year-Forecast-poi-SPARS 3-8262.0,00:00:00,23:59:59,volume,8100
Design-Year-SPARS 3-8263.0,Design-Year-Model-Run,SPARS 3-8263.0,Design-Year-Forecast-poi-SPARS 3-8263.0,00:00:00,23:59:59,volume,7100
Design-Year-SPARS 3-8264.0,Design-Year-Model-Run,SPARS 3-8264.0,Design-Year-Forecast-poi-SPARS 3-8264.0,00:00:00,23:59:59,volume,7100
Design-Year-SPARS 3-8265.0,Design-Year-Model-Run,SPARS 3-8265.0,Design-Year-Forecast-poi-SPARS 3-8265.0,00:00:00,23:59:59,volume,6700
Design-Year-SPARS 3-8266.0,Design-Year-Model-Run,SPARS 3-8266.0,Design-Year-Forecast-poi-SPARS 3-8266.0,00:00:00,23:59:59,volume,6700
Design-Year-SPARS 3-8267.0,Design-Year-Model-Run,SPARS 3-8267.0,Design-Year-Forecast-poi-SPARS 3-8267.0,00:00:00,23:59:59,volume,6600
Design-Year-SPARS 3-8268.0,Design-Year-Model-Run,SPARS 3-8268.0,Design-Year-Forecast-poi-SPARS 3-8268.0,00:00:00,23:59:59,volume,6600
Design-Year-SPARS 3-8269.0,Design-Year-Model-Run,SPARS 3-8269.0,Design-Year-Forecast-poi-SPARS 3-8269.0,00:00:00,23:59:59,volume,6100
Design-Year-SPARS 3-8270.0,Design-Year-Model-Run,SPARS 3-8270.0,Design-Year-Forecast-poi-SPARS 3-8270.0,00:00:00,23:59:59,volume,6100
