poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
SPARS 45-8411,   TH 51North of TH 5 (W. 7th St.)South of Montreal Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of TH 5 (W. 7th St.)South of Montreal Ave.NB
SPARS 45-8412,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8413,   TH 51North of Montreal Ave.South of Ford ParkwayNB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Montreal Ave.South of Ford ParkwayNB
SPARS 45-8414,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8415,   TH 51North of Ford ParkwaySouth of Randolph Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Ford ParkwaySouth of Randolph Ave.NB
SPARS 45-8416,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8417,   TH 51North of Randolph Ave.South of St. Clair Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Randolph Ave.South of St. Clair Ave.NB
SPARS 45-8418,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8419,   TH 51North of St. Clair Ave.South of Summit Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of St. Clair Ave.South of Summit Ave.NB
SPARS 45-8420,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8421,   TH 51North of Summit Ave.South of Selby Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Summit Ave.South of Selby Ave.NB
SPARS 45-8422,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8423,   TH 51North of Selby Ave.South of Marshall Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Selby Ave.South of Marshall Ave.NB
SPARS 45-8424,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8425,   TH 51North of Marshall Ave.South of Concordia Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Marshall Ave.South of Concordia Ave.NB
SPARS 45-8426,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8427,   I-94West of TH 51EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94West of TH 51EB
SPARS 45-8428,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
SPARS 45-8429,   I-94East of TH 51EB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   I-94East of TH 51EB
SPARS 45-8430,   WB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   WB
SPARS 45-8431,   TH 51North of I-94South ofUniversity Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of I-94South ofUniversity Ave.NB
SPARS 45-8432,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8433,   TH 51North of University Ave.South of Thomas Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of University Ave.South of Thomas Ave.NB
SPARS 45-8434,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8435,   TH 51North of Thomas Ave.South of Minnehaha Ave.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Thomas Ave.South of Minnehaha Ave.NB
SPARS 45-8436,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8437,   TH 51North of Minnehaha Ave.South of Pierce Butler RouteNB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Minnehaha Ave.South of Pierce Butler RouteNB
SPARS 45-8438,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 45-8439,   TH 51North of Pierce Butler RouteNB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 51North of Pierce Butler RouteNB
SPARS 45-8440,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
