forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-SPARS 4-8271.0,Design-Year-Model-Run,SPARS 4-8271.0,Design-Year-Forecast-poi-SPARS 4-8271.0,00:00:00,23:59:59,volume,38900
Design-Year-SPARS 4-8272.0,Design-Year-Model-Run,SPARS 4-8272.0,Design-Year-Forecast-poi-SPARS 4-8272.0,00:00:00,23:59:59,volume,38900
Design-Year-SPARS 4-8273.0,Design-Year-Model-Run,SPARS 4-8273.0,Design-Year-Forecast-poi-SPARS 4-8273.0,00:00:00,23:59:59,volume,23700
Design-Year-SPARS 4-8274.0,Design-Year-Model-Run,SPARS 4-8274.0,Design-Year-Forecast-poi-SPARS 4-8274.0,00:00:00,23:59:59,volume,23700
Design-Year-SPARS 4-8275.0,Design-Year-Model-Run,SPARS 4-8275.0,Design-Year-Forecast-poi-SPARS 4-8275.0,00:00:00,23:59:59,volume,20200
Design-Year-SPARS 4-8276.0,Design-Year-Model-Run,SPARS 4-8276.0,Design-Year-Forecast-poi-SPARS 4-8276.0,00:00:00,23:59:59,volume,20200
Design-Year-SPARS 4-8277.0,Design-Year-Model-Run,SPARS 4-8277.0,Design-Year-Forecast-poi-SPARS 4-8277.0,00:00:00,23:59:59,volume,18600
Design-Year-SPARS 4-8278.0,Design-Year-Model-Run,SPARS 4-8278.0,Design-Year-Forecast-poi-SPARS 4-8278.0,00:00:00,23:59:59,volume,18600
Design-Year-SPARS 4-8279.0,Design-Year-Model-Run,SPARS 4-8279.0,Design-Year-Forecast-poi-SPARS 4-8279.0,00:00:00,23:59:59,volume,18700
Design-Year-SPARS 4-8280.0,Design-Year-Model-Run,SPARS 4-8280.0,Design-Year-Forecast-poi-SPARS 4-8280.0,00:00:00,23:59:59,volume,18700
Design-Year-SPARS 4-8281.0,Design-Year-Model-Run,SPARS 4-8281.0,Design-Year-Forecast-poi-SPARS 4-8281.0,00:00:00,23:59:59,volume,19000
Design-Year-SPARS 4-8282.0,Design-Year-Model-Run,SPARS 4-8282.0,Design-Year-Forecast-poi-SPARS 4-8282.0,00:00:00,23:59:59,volume,19000
Design-Year-SPARS 4-8283.0,Design-Year-Model-Run,SPARS 4-8283.0,Design-Year-Forecast-poi-SPARS 4-8283.0,00:00:00,23:59:59,volume,19100
Design-Year-SPARS 4-8284.0,Design-Year-Model-Run,SPARS 4-8284.0,Design-Year-Forecast-poi-SPARS 4-8284.0,00:00:00,23:59:59,volume,19100
Design-Year-SPARS 4-8285.0,Design-Year-Model-Run,SPARS 4-8285.0,Design-Year-Forecast-poi-SPARS 4-8285.0,00:00:00,23:59:59,volume,19700
Design-Year-SPARS 4-8286.0,Design-Year-Model-Run,SPARS 4-8286.0,Design-Year-Forecast-poi-SPARS 4-8286.0,00:00:00,23:59:59,volume,19700
Design-Year-SPARS 4-8287.0,Design-Year-Model-Run,SPARS 4-8287.0,Design-Year-Forecast-poi-SPARS 4-8287.0,00:00:00,23:59:59,volume,19800
Design-Year-SPARS 4-8288.0,Design-Year-Model-Run,SPARS 4-8288.0,Design-Year-Forecast-poi-SPARS 4-8288.0,00:00:00,23:59:59,volume,19800
Design-Year-SPARS 4-8289.0,Design-Year-Model-Run,SPARS 4-8289.0,Design-Year-Forecast-poi-SPARS 4-8289.0,00:00:00,23:59:59,volume,18800
Design-Year-SPARS 4-8290.0,Design-Year-Model-Run,SPARS 4-8290.0,Design-Year-Forecast-poi-SPARS 4-8290.0,00:00:00,23:59:59,volume,18800
Design-Year-SPARS 4-8291.0,Design-Year-Model-Run,SPARS 4-8291.0,Design-Year-Forecast-poi-SPARS 4-8291.0,00:00:00,23:59:59,volume,40500
Design-Year-SPARS 4-8292.0,Design-Year-Model-Run,SPARS 4-8292.0,Design-Year-Forecast-poi-SPARS 4-8292.0,00:00:00,23:59:59,volume,40500
Design-Year-SPARS 4-8293.0,Design-Year-Model-Run,SPARS 4-8293.0,Design-Year-Forecast-poi-SPARS 4-8293.0,00:00:00,23:59:59,volume,40500
Design-Year-SPARS 4-8294.0,Design-Year-Model-Run,SPARS 4-8294.0,Design-Year-Forecast-poi-SPARS 4-8294.0,00:00:00,23:59:59,volume,40500
