forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-SPARS 53-8455.0,Design-Year-Model-Run,SPARS 53-8455.0,Design-Year-Forecast-poi-SPARS 53-8455.0,00:00:00,23:59:59,volume,30400
Design-Year-SPARS 53-8456.0,Design-Year-Model-Run,SPARS 53-8456.0,Design-Year-Forecast-poi-SPARS 53-8456.0,00:00:00,23:59:59,volume,30400
Design-Year-SPARS 53-8457.0,Design-Year-Model-Run,SPARS 53-8457.0,Design-Year-Forecast-poi-SPARS 53-8457.0,00:00:00,23:59:59,volume,34500
Design-Year-SPARS 53-8458.0,Design-Year-Model-Run,SPARS 53-8458.0,Design-Year-Forecast-poi-SPARS 53-8458.0,00:00:00,23:59:59,volume,34500
Design-Year-SPARS 53-8459.0,Design-Year-Model-Run,SPARS 53-8459.0,Design-Year-Forecast-poi-SPARS 53-8459.0,00:00:00,23:59:59,volume,22500
Design-Year-SPARS 53-8460.0,Design-Year-Model-Run,SPARS 53-8460.0,Design-Year-Forecast-poi-SPARS 53-8460.0,00:00:00,23:59:59,volume,17800
Design-Year-SPARS 53-8461.0,Design-Year-Model-Run,SPARS 53-8461.0,Design-Year-Forecast-poi-SPARS 53-8461.0,00:00:00,23:59:59,volume,27300
Design-Year-SPARS 53-8462.0,Design-Year-Model-Run,SPARS 53-8462.0,Design-Year-Forecast-poi-SPARS 53-8462.0,00:00:00,23:59:59,volume,27300
Design-Year-SPARS 53-8463.0,Design-Year-Model-Run,SPARS 53-8463.0,Design-Year-Forecast-poi-SPARS 53-8463.0,00:00:00,23:59:59,volume,33500
Design-Year-SPARS 53-8464.0,Design-Year-Model-Run,SPARS 53-8464.0,Design-Year-Forecast-poi-SPARS 53-8464.0,00:00:00,23:59:59,volume,33500
