obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
SPARS 61-8483-1,SPARS 61-8483,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,7488
SPARS 61-8484-1,SPARS 61-8484,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,7488
SPARS 61-8485-1,SPARS 61-8485,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,7488
SPARS 61-8486-1,SPARS 61-8486,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,7488
SPARS 61-8487-1,SPARS 61-8487,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,7494
SPARS 61-8488-1,SPARS 61-8488,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,7494
SPARS 61-8489-1,SPARS 61-8489,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,7584
SPARS 61-8490-1,SPARS 61-8490,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,7584
SPARS 61-8491-1,SPARS 61-8491,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,4560
SPARS 61-8492-1,SPARS 61-8492,Design Year,unknown,unknown,1975,00:00:00,24:00:00,volume,4560
SPARS 61-8493-1,SPARS 61-8493,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,25650
SPARS 61-8494-1,SPARS 61-8494,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,25650
SPARS 61-8495-1,SPARS 61-8495,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,25650
SPARS 61-8496-1,SPARS 61-8496,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,25650
SPARS 61-8497-1,SPARS 61-8497,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,25000
SPARS 61-8498-1,SPARS 61-8498,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,25000
SPARS 61-8499-1,SPARS 61-8499,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,25000
SPARS 61-8500-1,SPARS 61-8500,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,25000
SPARS 61-8501-1,SPARS 61-8501,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,26125
SPARS 61-8502-1,SPARS 61-8502,Design Year,unknown,unknown,1985,00:00:00,24:00:00,volume,26125
