forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f3,1,SPARS 69-8513,Design Year,00:00:00,24:00,volume,22000
f3,1,SPARS 69-8514,Design Year,00:00:00,24:00,volume,22000
f3,1,SPARS 69-8515,Design Year,00:00:00,24:00,volume,24000
f3,1,SPARS 69-8516,Design Year,00:00:00,24:00,volume,24000
f3,1,SPARS 69-8517,Design Year,00:00:00,24:00,volume,26500
f3,1,SPARS 69-8518,Design Year,00:00:00,24:00,volume,26500
f3,1,SPARS 69-8519,Design Year,00:00:00,24:00,volume,29700
f3,1,SPARS 69-8520,Design Year,00:00:00,24:00,volume,29700
f3,1,SPARS 69-8521,Design Year,00:00:00,24:00,volume,36300
f3,1,SPARS 69-8522,Design Year,00:00:00,24:00,volume,36300
