forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f3,1,SPARS 75A-8571,Design Year,00:00:00,23:59:59,volume,4000
f3,1,SPARS 75A-8572,Design Year,00:00:00,23:59:59,volume,4000
f3,1,SPARS 75A-8573,Design Year,00:00:00,23:59:59,volume,3300
f3,1,SPARS 75A-8574,Design Year,00:00:00,23:59:59,volume,3300
f3,1,SPARS 75A-8575,Design Year,00:00:00,23:59:59,volume,4500
f3,1,SPARS 75A-8576,Design Year,00:00:00,23:59:59,volume,4500
f3,1,SPARS 75A-8577,Design Year,00:00:00,23:59:59,volume,6700
f3,1,SPARS 75A-8578,Design Year,00:00:00,23:59:59,volume,6700
f3,1,SPARS 75A-8579,Design Year,00:00:00,23:59:59,volume,5100
f3,1,SPARS 75A-8580,Design Year,00:00:00,23:59:59,volume,5100
f3,1,SPARS 75A-8581,Design Year,00:00:00,23:59:59,volume,8400
f3,1,SPARS 75A-8582,Design Year,00:00:00,23:59:59,volume,8400
f3,1,SPARS 75A-8583,Design Year,00:00:00,23:59:59,volume,9400
f3,1,SPARS 75A-8584,Design Year,00:00:00,23:59:59,volume,9400
f3,1,SPARS 75A-8585,Design Year,00:00:00,23:59:59,volume,10100
f3,1,SPARS 75A-8586,Design Year,00:00:00,23:59:59,volume,10100
f3,1,SPARS 75A-8587,Design Year,00:00:00,23:59:59,volume,6200
f3,1,SPARS 75A-8588,Design Year,00:00:00,23:59:59,volume,31900
f3,1,SPARS 75A-8589,Design Year,00:00:00,23:59:59,volume,31900
