poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
SPARS 75A-8571,   TH 49 (Dodd Rd.)South of TH 110NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Dodd Rd.)South of TH 110NB
SPARS 75A-8572,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 75A-8573,   TH 49 (Dodd Rd.)North of TH 110South of Co. Rd. 8 (Wentworth Ave.)NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Dodd Rd.)North of TH 110South of Co. Rd. 8 (Wentworth Ave.)NB
SPARS 75A-8574,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 75A-8575,   TH 49 (Dodd Rd.)North of Co. Rd. 8South of CSAH 63 (Delaware Ave.)NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Dodd Rd.)North of Co. Rd. 8South of CSAH 63 (Delaware Ave.)NB
SPARS 75A-8576,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 75A-8577,   TH 49 (Dodd Rd.)North of CSAH 63 (Delaware Ave.)South of TH 49 (Smith Ave.)NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Dodd Rd.)North of CSAH 63 (Delaware Ave.)South of TH 49 (Smith Ave.)NB
SPARS 75A-8578,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 75A-8579,   TH 49 (Smith Ave.)North of TH 49 (Dodd Rd.)South of Co. Rd. 2 (W. Annapolis St.)NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Smith Ave.)North of TH 49 (Dodd Rd.)South of Co. Rd. 2 (W. Annapolis St.)NB
SPARS 75A-8580,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 75A-8581,   TH 49 (Smith Ave.)North of Co. Rd. 2 (W. Annapolis St.)South of George St.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Smith Ave.)North of Co. Rd. 2 (W. Annapolis St.)South of George St.NB
SPARS 75A-8582,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 75A-8583,   TH 49 (Smith Ave.)North of George St.South of Cherokee AveNB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Smith Ave.)North of George St.South of Cherokee AveNB
SPARS 75A-8584,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 75A-8585,   TH 49 (Smith Ave.)North of Cherokee Ave.South of Mississippi RiverNB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Smith Ave.)North of Cherokee Ave.South of Mississippi RiverNB
SPARS 75A-8586,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
SPARS 75A-8587,   TH 49 (Smith Ave.)North of Cliff St.South of Exchange St.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   TH 49 (Smith Ave.)North of Cliff St.South of Exchange St.NB
SPARS 75A-8588,   F.A.I. 35ESouth of Ramsey St.NB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   F.A.I. 35ESouth of Ramsey St.NB
SPARS 75A-8589,   SB,,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,   SB
