obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M242-6933.0-1,TA-M242-6933.0,Design-Year-Forecast-poi-TA-M242-6933.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4650
TA-M242-6934.0-1,TA-M242-6934.0,Design-Year-Forecast-poi-TA-M242-6934.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4650
TA-M242-6935.0-1,TA-M242-6935.0,Design-Year-Forecast-poi-TA-M242-6935.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4650
TA-M242-6936.0-1,TA-M242-6936.0,Design-Year-Forecast-poi-TA-M242-6936.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4650
TA-M242-6937.0-1,TA-M242-6937.0,Design-Year-Forecast-poi-TA-M242-6937.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4650
TA-M242-6938.0-1,TA-M242-6938.0,Design-Year-Forecast-poi-TA-M242-6938.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4650
TA-M242-6939.0-1,TA-M242-6939.0,Design-Year-Forecast-poi-TA-M242-6939.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4650
TA-M242-6940.0-1,TA-M242-6940.0,Design-Year-Forecast-poi-TA-M242-6940.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4650
TA-M242-6941.0-1,TA-M242-6941.0,Design-Year-Forecast-poi-TA-M242-6941.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4250
TA-M242-6942.0-1,TA-M242-6942.0,Design-Year-Forecast-poi-TA-M242-6942.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4250
TA-M242-6943.0-1,TA-M242-6943.0,Design-Year-Forecast-poi-TA-M242-6943.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4250
TA-M242-6944.0-1,TA-M242-6944.0,Design-Year-Forecast-poi-TA-M242-6944.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,4250
TA-M242-6945.0-1,TA-M242-6945.0,Design-Year-Forecast-poi-TA-M242-6945.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,6000
TA-M242-6946.0-1,TA-M242-6946.0,Design-Year-Forecast-poi-TA-M242-6946.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,6000
TA-M242-6947.0-1,TA-M242-6947.0,Design-Year-Forecast-poi-TA-M242-6947.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,6000
TA-M242-6948.0-1,TA-M242-6948.0,Design-Year-Forecast-poi-TA-M242-6948.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,6000
TA-M242-6949.0-1,TA-M242-6949.0,Design-Year-Forecast-poi-TA-M242-6949.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,6000
TA-M242-6950.0-1,TA-M242-6950.0,Design-Year-Forecast-poi-TA-M242-6950.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,6000
TA-M242-6951.0-1,TA-M242-6951.0,Design-Year-Forecast-poi-TA-M242-6951.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,6000
TA-M242-6952.0-1,TA-M242-6952.0,Design-Year-Forecast-poi-TA-M242-6952.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,6000
TA-M242-6953.0-1,TA-M242-6953.0,Design-Year-Forecast-poi-TA-M242-6953.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,7800
TA-M242-6954.0-1,TA-M242-6954.0,Design-Year-Forecast-poi-TA-M242-6954.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,7800
TA-M242-6955.0-1,TA-M242-6955.0,Design-Year-Forecast-poi-TA-M242-6955.0,unknown,unknown,2005-01-01,00:00:00,23:59:59,volume,7800
