forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f3,1,TA-M245-7051,Design Year,00:00:00,23:59:59,volume,3500
f3,1,TA-M245-7052,Design Year,00:00:00,23:59:59,volume,3500
f3,1,TA-M245-7053,Design Year,00:00:00,23:59:59,volume,3000
f3,1,TA-M245-7054,Design Year,00:00:00,23:59:59,volume,3000
f3,1,TA-M245-7055,Design Year,00:00:00,23:59:59,volume,4500
f3,1,TA-M245-7056,Design Year,00:00:00,23:59:59,volume,4500
f3,1,TA-M245-7057,Design Year,00:00:00,23:59:59,volume,1200
f3,1,TA-M245-7058,Design Year,00:00:00,23:59:59,volume,1200
f3,1,TA-M245-7059,Design Year,00:00:00,23:59:59,volume,8200
f3,1,TA-M245-7060,Design Year,00:00:00,23:59:59,volume,8200
f3,1,TA-M245-7061,Design Year,00:00:00,23:59:59,volume,7700
f3,1,TA-M245-7062,Design Year,00:00:00,23:59:59,volume,7700
f3,1,TA-M245-7063,Design Year,00:00:00,23:59:59,volume,8000
f3,1,TA-M245-7064,Design Year,00:00:00,23:59:59,volume,8000
