obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M253-7520-1,TA-M253-7520,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,25500
TA-M253-7521-1,TA-M253-7521,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,25500
TA-M253-7522-1,TA-M253-7522,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,16000
TA-M253-7523-1,TA-M253-7523,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,16000
TA-M253-7524-1,TA-M253-7524,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,16000
TA-M253-7525-1,TA-M253-7525,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,16000
TA-M253-7526-1,TA-M253-7526,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,10000
TA-M253-7527-1,TA-M253-7527,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,10000
TA-M253-7528-1,TA-M253-7528,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,10000
TA-M253-7529-1,TA-M253-7529,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,10000
TA-M253-7530-1,TA-M253-7530,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,10000
TA-M253-7531-1,TA-M253-7531,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,10000
TA-M253-7532-1,TA-M253-7532,Design Year,unknown,unknown,2000,00:00:00,24:00:00,volume,10000
