obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M255A-7172.0-1,TA-M255A-7172.0,Design-Year-Forecast-poi-TA-M255A-7172.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7173.0-1,TA-M255A-7173.0,Design-Year-Forecast-poi-TA-M255A-7173.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7174.0-1,TA-M255A-7174.0,Design-Year-Forecast-poi-TA-M255A-7174.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7175.0-1,TA-M255A-7175.0,Design-Year-Forecast-poi-TA-M255A-7175.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7176.0-1,TA-M255A-7176.0,Design-Year-Forecast-poi-TA-M255A-7176.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7177.0-1,TA-M255A-7177.0,Design-Year-Forecast-poi-TA-M255A-7177.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7178.0-1,TA-M255A-7178.0,Design-Year-Forecast-poi-TA-M255A-7178.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7179.0-1,TA-M255A-7179.0,Design-Year-Forecast-poi-TA-M255A-7179.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7180.0-1,TA-M255A-7180.0,Design-Year-Forecast-poi-TA-M255A-7180.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7181.0-1,TA-M255A-7181.0,Design-Year-Forecast-poi-TA-M255A-7181.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,21000
TA-M255A-7182.0-1,TA-M255A-7182.0,Design-Year-Forecast-poi-TA-M255A-7182.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7183.0-1,TA-M255A-7183.0,Design-Year-Forecast-poi-TA-M255A-7183.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7184.0-1,TA-M255A-7184.0,Design-Year-Forecast-poi-TA-M255A-7184.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7185.0-1,TA-M255A-7185.0,Design-Year-Forecast-poi-TA-M255A-7185.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7186.0-1,TA-M255A-7186.0,Design-Year-Forecast-poi-TA-M255A-7186.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7187.0-1,TA-M255A-7187.0,Design-Year-Forecast-poi-TA-M255A-7187.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7188.0-1,TA-M255A-7188.0,Design-Year-Forecast-poi-TA-M255A-7188.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7189.0-1,TA-M255A-7189.0,Design-Year-Forecast-poi-TA-M255A-7189.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7190.0-1,TA-M255A-7190.0,Design-Year-Forecast-poi-TA-M255A-7190.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7191.0-1,TA-M255A-7191.0,Design-Year-Forecast-poi-TA-M255A-7191.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7192.0-1,TA-M255A-7192.0,Design-Year-Forecast-poi-TA-M255A-7192.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7193.0-1,TA-M255A-7193.0,Design-Year-Forecast-poi-TA-M255A-7193.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7194.0-1,TA-M255A-7194.0,Design-Year-Forecast-poi-TA-M255A-7194.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7195.0-1,TA-M255A-7195.0,Design-Year-Forecast-poi-TA-M255A-7195.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7196.0-1,TA-M255A-7196.0,Design-Year-Forecast-poi-TA-M255A-7196.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7197.0-1,TA-M255A-7197.0,Design-Year-Forecast-poi-TA-M255A-7197.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7198.0-1,TA-M255A-7198.0,Design-Year-Forecast-poi-TA-M255A-7198.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7199.0-1,TA-M255A-7199.0,Design-Year-Forecast-poi-TA-M255A-7199.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7200.0-1,TA-M255A-7200.0,Design-Year-Forecast-poi-TA-M255A-7200.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7201.0-1,TA-M255A-7201.0,Design-Year-Forecast-poi-TA-M255A-7201.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7202.0-1,TA-M255A-7202.0,Design-Year-Forecast-poi-TA-M255A-7202.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7203.0-1,TA-M255A-7203.0,Design-Year-Forecast-poi-TA-M255A-7203.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7204.0-1,TA-M255A-7204.0,Design-Year-Forecast-poi-TA-M255A-7204.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7205.0-1,TA-M255A-7205.0,Design-Year-Forecast-poi-TA-M255A-7205.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7206.0-1,TA-M255A-7206.0,Design-Year-Forecast-poi-TA-M255A-7206.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7207.0-1,TA-M255A-7207.0,Design-Year-Forecast-poi-TA-M255A-7207.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7208.0-1,TA-M255A-7208.0,Design-Year-Forecast-poi-TA-M255A-7208.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7209.0-1,TA-M255A-7209.0,Design-Year-Forecast-poi-TA-M255A-7209.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7210.0-1,TA-M255A-7210.0,Design-Year-Forecast-poi-TA-M255A-7210.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7211.0-1,TA-M255A-7211.0,Design-Year-Forecast-poi-TA-M255A-7211.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7212.0-1,TA-M255A-7212.0,Design-Year-Forecast-poi-TA-M255A-7212.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7213.0-1,TA-M255A-7213.0,Design-Year-Forecast-poi-TA-M255A-7213.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7214.0-1,TA-M255A-7214.0,Design-Year-Forecast-poi-TA-M255A-7214.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7215.0-1,TA-M255A-7215.0,Design-Year-Forecast-poi-TA-M255A-7215.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,18000
TA-M255A-7216.0-1,TA-M255A-7216.0,Design-Year-Forecast-poi-TA-M255A-7216.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7217.0-1,TA-M255A-7217.0,Design-Year-Forecast-poi-TA-M255A-7217.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7218.0-1,TA-M255A-7218.0,Design-Year-Forecast-poi-TA-M255A-7218.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7219.0-1,TA-M255A-7219.0,Design-Year-Forecast-poi-TA-M255A-7219.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7220.0-1,TA-M255A-7220.0,Design-Year-Forecast-poi-TA-M255A-7220.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7221.0-1,TA-M255A-7221.0,Design-Year-Forecast-poi-TA-M255A-7221.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7222.0-1,TA-M255A-7222.0,Design-Year-Forecast-poi-TA-M255A-7222.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7223.0-1,TA-M255A-7223.0,Design-Year-Forecast-poi-TA-M255A-7223.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7224.0-1,TA-M255A-7224.0,Design-Year-Forecast-poi-TA-M255A-7224.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7225.0-1,TA-M255A-7225.0,Design-Year-Forecast-poi-TA-M255A-7225.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7226.0-1,TA-M255A-7226.0,Design-Year-Forecast-poi-TA-M255A-7226.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7227.0-1,TA-M255A-7227.0,Design-Year-Forecast-poi-TA-M255A-7227.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7228.0-1,TA-M255A-7228.0,Design-Year-Forecast-poi-TA-M255A-7228.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7229.0-1,TA-M255A-7229.0,Design-Year-Forecast-poi-TA-M255A-7229.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
TA-M255A-7230.0-1,TA-M255A-7230.0,Design-Year-Forecast-poi-TA-M255A-7230.0,unknown,unknown,2004-01-01,00:00:00,23:59:59,volume,19750
