obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M292-7901-1,TA-M292-7901,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,48000
TA-M292-7902-1,TA-M292-7902,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,48000
TA-M292-7903-1,TA-M292-7903,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,48000
TA-M292-7904-1,TA-M292-7904,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,48000
TA-M292-7905-1,TA-M292-7905,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,48500
TA-M292-7906-1,TA-M292-7906,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,48500
TA-M292-7907-1,TA-M292-7907,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,48500
TA-M292-7908-1,TA-M292-7908,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,48500
TA-M292-7909-1,TA-M292-7909,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,50500
TA-M292-7910-1,TA-M292-7910,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,50500
TA-M292-7911-1,TA-M292-7911,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,50500
TA-M292-7912-1,TA-M292-7912,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,50500
TA-M292-7913-1,TA-M292-7913,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,80000
TA-M292-7914-1,TA-M292-7914,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,80000
TA-M292-7915-1,TA-M292-7915,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,80000
TA-M292-7916-1,TA-M292-7916,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,80000
TA-M292-7917-1,TA-M292-7917,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,85000
TA-M292-7918-1,TA-M292-7918,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,85000
TA-M292-7919-1,TA-M292-7919,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,85000
TA-M292-7920-1,TA-M292-7920,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,85000
TA-M292-7921-1,TA-M292-7921,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,70500
TA-M292-7922-1,TA-M292-7922,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,70500
TA-M292-7923-1,TA-M292-7923,Design Year,unknown,unknown,2000,00:00:00,00:00:00,volume,70500
