obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M292-7901.0-1,TA-M292-7901.0,Design-Year-Forecast-poi-TA-M292-7901.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,48000
TA-M292-7902.0-1,TA-M292-7902.0,Design-Year-Forecast-poi-TA-M292-7902.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,48000
TA-M292-7903.0-1,TA-M292-7903.0,Design-Year-Forecast-poi-TA-M292-7903.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,48000
TA-M292-7904.0-1,TA-M292-7904.0,Design-Year-Forecast-poi-TA-M292-7904.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,48000
TA-M292-7905.0-1,TA-M292-7905.0,Design-Year-Forecast-poi-TA-M292-7905.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,48500
TA-M292-7906.0-1,TA-M292-7906.0,Design-Year-Forecast-poi-TA-M292-7906.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,48500
TA-M292-7907.0-1,TA-M292-7907.0,Design-Year-Forecast-poi-TA-M292-7907.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,48500
TA-M292-7908.0-1,TA-M292-7908.0,Design-Year-Forecast-poi-TA-M292-7908.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,48500
TA-M292-7909.0-1,TA-M292-7909.0,Design-Year-Forecast-poi-TA-M292-7909.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,50500
TA-M292-7910.0-1,TA-M292-7910.0,Design-Year-Forecast-poi-TA-M292-7910.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,50500
TA-M292-7911.0-1,TA-M292-7911.0,Design-Year-Forecast-poi-TA-M292-7911.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,50500
TA-M292-7912.0-1,TA-M292-7912.0,Design-Year-Forecast-poi-TA-M292-7912.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,50500
TA-M292-7913.0-1,TA-M292-7913.0,Design-Year-Forecast-poi-TA-M292-7913.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7914.0-1,TA-M292-7914.0,Design-Year-Forecast-poi-TA-M292-7914.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7915.0-1,TA-M292-7915.0,Design-Year-Forecast-poi-TA-M292-7915.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7916.0-1,TA-M292-7916.0,Design-Year-Forecast-poi-TA-M292-7916.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7917.0-1,TA-M292-7917.0,Design-Year-Forecast-poi-TA-M292-7917.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,85000
TA-M292-7918.0-1,TA-M292-7918.0,Design-Year-Forecast-poi-TA-M292-7918.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,85000
TA-M292-7919.0-1,TA-M292-7919.0,Design-Year-Forecast-poi-TA-M292-7919.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,85000
TA-M292-7920.0-1,TA-M292-7920.0,Design-Year-Forecast-poi-TA-M292-7920.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,85000
TA-M292-7921.0-1,TA-M292-7921.0,Design-Year-Forecast-poi-TA-M292-7921.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,70500
TA-M292-7922.0-1,TA-M292-7922.0,Design-Year-Forecast-poi-TA-M292-7922.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,70500
TA-M292-7923.0-1,TA-M292-7923.0,Design-Year-Forecast-poi-TA-M292-7923.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,70500
TA-M292-7924.0-1,TA-M292-7924.0,Design-Year-Forecast-poi-TA-M292-7924.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,70500
TA-M292-7925.0-1,TA-M292-7925.0,Design-Year-Forecast-poi-TA-M292-7925.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80250
TA-M292-7926.0-1,TA-M292-7926.0,Design-Year-Forecast-poi-TA-M292-7926.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80250
TA-M292-7927.0-1,TA-M292-7927.0,Design-Year-Forecast-poi-TA-M292-7927.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,74500
TA-M292-7928.0-1,TA-M292-7928.0,Design-Year-Forecast-poi-TA-M292-7928.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,74500
TA-M292-7929.0-1,TA-M292-7929.0,Design-Year-Forecast-poi-TA-M292-7929.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7930.0-1,TA-M292-7930.0,Design-Year-Forecast-poi-TA-M292-7930.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7931.0-1,TA-M292-7931.0,Design-Year-Forecast-poi-TA-M292-7931.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7932.0-1,TA-M292-7932.0,Design-Year-Forecast-poi-TA-M292-7932.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7933.0-1,TA-M292-7933.0,Design-Year-Forecast-poi-TA-M292-7933.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7934.0-1,TA-M292-7934.0,Design-Year-Forecast-poi-TA-M292-7934.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7935.0-1,TA-M292-7935.0,Design-Year-Forecast-poi-TA-M292-7935.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7936.0-1,TA-M292-7936.0,Design-Year-Forecast-poi-TA-M292-7936.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80000
TA-M292-7937.0-1,TA-M292-7937.0,Design-Year-Forecast-poi-TA-M292-7937.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80500
TA-M292-7938.0-1,TA-M292-7938.0,Design-Year-Forecast-poi-TA-M292-7938.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80500
TA-M292-7939.0-1,TA-M292-7939.0,Design-Year-Forecast-poi-TA-M292-7939.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80500
TA-M292-7940.0-1,TA-M292-7940.0,Design-Year-Forecast-poi-TA-M292-7940.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,80500
TA-M292-7941.0-1,TA-M292-7941.0,Design-Year-Forecast-poi-TA-M292-7941.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,87500
TA-M292-7942.0-1,TA-M292-7942.0,Design-Year-Forecast-poi-TA-M292-7942.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,87500
TA-M292-7943.0-1,TA-M292-7943.0,Design-Year-Forecast-poi-TA-M292-7943.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,36500
TA-M292-7944.0-1,TA-M292-7944.0,Design-Year-Forecast-poi-TA-M292-7944.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,36500
TA-M292-7945.0-1,TA-M292-7945.0,Design-Year-Forecast-poi-TA-M292-7945.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,36500
TA-M292-7946.0-1,TA-M292-7946.0,Design-Year-Forecast-poi-TA-M292-7946.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,36500
TA-M292-7947.0-1,TA-M292-7947.0,Design-Year-Forecast-poi-TA-M292-7947.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,51500
TA-M292-7948.0-1,TA-M292-7948.0,Design-Year-Forecast-poi-TA-M292-7948.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,51500
