poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TA-M292-7901.0," , I-494East Of I-35EEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494East Of I-35EEB"
TA-M292-7902.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7903.0," , I-494Between I-35EEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between I-35EEB"
TA-M292-7904.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7905.0," , I-494West Of I-35EEast Of CSAH 31EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of I-35EEast Of CSAH 31EB"
TA-M292-7906.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7907.0," , I-494Between CSAH 31EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between CSAH 31EB"
TA-M292-7908.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7909.0," , I-494West Of CSAH 31East Of TH5EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of CSAH 31East Of TH5EB"
TA-M292-7910.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7911.0," , I-494Between TH 5EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between TH 5EB"
TA-M292-7912.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7913.0," , I-494West Of TH 5East Of 34th StreetEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of TH 5East Of 34th StreetEB"
TA-M292-7914.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7915.0," , I-494Between 34th StreetEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between 34th StreetEB"
TA-M292-7916.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7917.0," , I-494West Of 34th StreetEast Of 24th StreetEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of 34th StreetEast Of 24th StreetEB"
TA-M292-7918.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7919.0," , I-494Between 24th StreetEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between 24th StreetEB"
TA-M292-7920.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7921.0," , I-494West Of 24th StreetEast Of Cedar AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of 24th StreetEast Of Cedar AveEB"
TA-M292-7922.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7923.0," , I-494Between Cedar AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between Cedar AveEB"
TA-M292-7924.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7925.0," , I-494West Of Cedar AveEast Of 12th AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of Cedar AveEast Of 12th AveEB"
TA-M292-7926.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7927.0," , I-494West Of 12th AveEast Of Portland AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of 12th AveEast Of Portland AveEB"
TA-M292-7928.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7929.0," , I-494West Of Portland Ave.East Of Nicollet AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of Portland Ave.East Of Nicollet AveEB"
TA-M292-7930.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7931.0," , I-494Between Nicollet Ave.EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between Nicollet Ave.EB"
TA-M292-7932.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7933.0," , I-494West Of Nicollet Ave.East Of Lyndale AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of Nicollet Ave.East Of Lyndale AveEB"
TA-M292-7934.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7935.0," , I-494Between Lyndale AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between Lyndale AveEB"
TA-M292-7936.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7937.0," , I-494West of Lyndale AveEast Of I-35WEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West of Lyndale AveEast Of I-35WEB"
TA-M292-7938.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7939.0," , I-494Between I-35WEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494Between I-35WEB"
TA-M292-7940.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7941.0," , I-494West Of I-35WEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-494West Of I-35WEB"
TA-M292-7942.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M292-7943.0," , I-35ENorth Of I-494NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-35ENorth Of I-494NB"
TA-M292-7944.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M292-7945.0," , I-35EBetween I-494NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-35EBetween I-494NB"
TA-M292-7946.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M292-7947.0," , I-35ESouth of I-494NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-35ESouth of I-494NB"
