obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M296A-7708-1,TA-M296A-7708,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,64500
TA-M296A-7709-1,TA-M296A-7709,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,64500
TA-M296A-7710-1,TA-M296A-7710,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,64500
TA-M296A-7711-1,TA-M296A-7711,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,64500
TA-M296A-7712-1,TA-M296A-7712,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,57000
TA-M296A-7713-1,TA-M296A-7713,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,57000
TA-M296A-7714-1,TA-M296A-7714,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,4250
TA-M296A-7715-1,TA-M296A-7715,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,4250
TA-M296A-7716-1,TA-M296A-7716,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,4250
TA-M296A-7717-1,TA-M296A-7717,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,4250
TA-M296A-7718-1,TA-M296A-7718,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,20500
TA-M296A-7719-1,TA-M296A-7719,Design Year,unknown,unknown,2006,00:00:00,24:00:00,volume,20500
