poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TA-M296A-7708.0," , I-94West Of TH10/61-Etna StreetEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94West Of TH10/61-Etna StreetEB"
TA-M296A-7709.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M296A-7710.0," , I-94Between TH10/61-Etna StreetEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94Between TH10/61-Etna StreetEB"
TA-M296A-7711.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M296A-7712.0," , I-94East Of TH10/61-Etna StreetEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-94East Of TH10/61-Etna StreetEB"
TA-M296A-7713.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M296A-7714.0," , Etna StreetNorth Of I-94NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , Etna StreetNorth Of I-94NB"
TA-M296A-7715.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M296A-7716.0," , TH10/61-Etna StreetBetween I-94NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH10/61-Etna StreetBetween I-94NB"
TA-M296A-7717.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M296A-7718.0," , TH10/61South Of I-94NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH10/61South Of I-94NB"
TA-M296A-7719.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
