forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-TA-M300-7876.0,Design-Year-Model-Run,TA-M300-7876.0,Design-Year-Forecast-poi-TA-M300-7876.0,00:00:00,23:59:59,volume,7390
Design-Year-TA-M300-7877.0,Design-Year-Model-Run,TA-M300-7877.0,Design-Year-Forecast-poi-TA-M300-7877.0,00:00:00,23:59:59,volume,7390
Design-Year-TA-M300-7878.0,Design-Year-Model-Run,TA-M300-7878.0,Design-Year-Forecast-poi-TA-M300-7878.0,00:00:00,23:59:59,volume,5500
Design-Year-TA-M300-7879.0,Design-Year-Model-Run,TA-M300-7879.0,Design-Year-Forecast-poi-TA-M300-7879.0,00:00:00,23:59:59,volume,5500
Design-Year-TA-M300-7880.0,Design-Year-Model-Run,TA-M300-7880.0,Design-Year-Forecast-poi-TA-M300-7880.0,00:00:00,23:59:59,volume,6750
Design-Year-TA-M300-7881.0,Design-Year-Model-Run,TA-M300-7881.0,Design-Year-Forecast-poi-TA-M300-7881.0,00:00:00,23:59:59,volume,6750
Design-Year-TA-M300-7882.0,Design-Year-Model-Run,TA-M300-7882.0,Design-Year-Forecast-poi-TA-M300-7882.0,00:00:00,23:59:59,volume,4510
Design-Year-TA-M300-7883.0,Design-Year-Model-Run,TA-M300-7883.0,Design-Year-Forecast-poi-TA-M300-7883.0,00:00:00,23:59:59,volume,4510
Design-Year-TA-M300-7884.0,Design-Year-Model-Run,TA-M300-7884.0,Design-Year-Forecast-poi-TA-M300-7884.0,00:00:00,23:59:59,volume,3740
Design-Year-TA-M300-7885.0,Design-Year-Model-Run,TA-M300-7885.0,Design-Year-Forecast-poi-TA-M300-7885.0,00:00:00,23:59:59,volume,3740
Design-Year-TA-M300-7886.0,Design-Year-Model-Run,TA-M300-7886.0,Design-Year-Forecast-poi-TA-M300-7886.0,00:00:00,23:59:59,volume,6855
Design-Year-TA-M300-7887.0,Design-Year-Model-Run,TA-M300-7887.0,Design-Year-Forecast-poi-TA-M300-7887.0,00:00:00,23:59:59,volume,6855
Design-Year-TA-M300-7888.0,Design-Year-Model-Run,TA-M300-7888.0,Design-Year-Forecast-poi-TA-M300-7888.0,00:00:00,23:59:59,volume,3675
Design-Year-TA-M300-7889.0,Design-Year-Model-Run,TA-M300-7889.0,Design-Year-Forecast-poi-TA-M300-7889.0,00:00:00,23:59:59,volume,3675
Design-Year-TA-M300-7890.0,Design-Year-Model-Run,TA-M300-7890.0,Design-Year-Forecast-poi-TA-M300-7890.0,00:00:00,23:59:59,volume,3080
Design-Year-TA-M300-7891.0,Design-Year-Model-Run,TA-M300-7891.0,Design-Year-Forecast-poi-TA-M300-7891.0,00:00:00,23:59:59,volume,3080
Design-Year-TA-M300-7892.0,Design-Year-Model-Run,TA-M300-7892.0,Design-Year-Forecast-poi-TA-M300-7892.0,00:00:00,23:59:59,volume,4515
Design-Year-TA-M300-7893.0,Design-Year-Model-Run,TA-M300-7893.0,Design-Year-Forecast-poi-TA-M300-7893.0,00:00:00,23:59:59,volume,4515
