obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M301-7764.0-1,TA-M301-7764.0,Design-Year-Forecast-poi-TA-M301-7764.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,15000
TA-M301-7765.0-1,TA-M301-7765.0,Design-Year-Forecast-poi-TA-M301-7765.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,15000
TA-M301-7766.0-1,TA-M301-7766.0,Design-Year-Forecast-poi-TA-M301-7766.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,15000
TA-M301-7767.0-1,TA-M301-7767.0,Design-Year-Forecast-poi-TA-M301-7767.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,15000
TA-M301-7768.0-1,TA-M301-7768.0,Design-Year-Forecast-poi-TA-M301-7768.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,17000
TA-M301-7769.0-1,TA-M301-7769.0,Design-Year-Forecast-poi-TA-M301-7769.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,17000
TA-M301-7770.0-1,TA-M301-7770.0,Design-Year-Forecast-poi-TA-M301-7770.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,17000
TA-M301-7771.0-1,TA-M301-7771.0,Design-Year-Forecast-poi-TA-M301-7771.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,17000
TA-M301-7772.0-1,TA-M301-7772.0,Design-Year-Forecast-poi-TA-M301-7772.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,17000
TA-M301-7773.0-1,TA-M301-7773.0,Design-Year-Forecast-poi-TA-M301-7773.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,17000
TA-M301-7774.0-1,TA-M301-7774.0,Design-Year-Forecast-poi-TA-M301-7774.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,17000
TA-M301-7775.0-1,TA-M301-7775.0,Design-Year-Forecast-poi-TA-M301-7775.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,17000
TA-M301-7776.0-1,TA-M301-7776.0,Design-Year-Forecast-poi-TA-M301-7776.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,12000
TA-M301-7777.0-1,TA-M301-7777.0,Design-Year-Forecast-poi-TA-M301-7777.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,12000
TA-M301-7778.0-1,TA-M301-7778.0,Design-Year-Forecast-poi-TA-M301-7778.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,12000
TA-M301-7779.0-1,TA-M301-7779.0,Design-Year-Forecast-poi-TA-M301-7779.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,12000
TA-M301-7780.0-1,TA-M301-7780.0,Design-Year-Forecast-poi-TA-M301-7780.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,8000
TA-M301-7781.0-1,TA-M301-7781.0,Design-Year-Forecast-poi-TA-M301-7781.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,8000
TA-M301-7782.0-1,TA-M301-7782.0,Design-Year-Forecast-poi-TA-M301-7782.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,8000
TA-M301-7783.0-1,TA-M301-7783.0,Design-Year-Forecast-poi-TA-M301-7783.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,8000
TA-M301-7784.0-1,TA-M301-7784.0,Design-Year-Forecast-poi-TA-M301-7784.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,8000
TA-M301-7785.0-1,TA-M301-7785.0,Design-Year-Forecast-poi-TA-M301-7785.0,unknown,unknown,2008-01-01,00:00:00,23:59:59,volume,8000
