forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-TA-M304-7740.0,Design-Year-Model-Run,TA-M304-7740.0,Design-Year-Forecast-poi-TA-M304-7740.0,00:00:00,23:59:59,volume,54100
Design-Year-TA-M304-7741.0,Design-Year-Model-Run,TA-M304-7741.0,Design-Year-Forecast-poi-TA-M304-7741.0,00:00:00,23:59:59,volume,54100
Design-Year-TA-M304-7742.0,Design-Year-Model-Run,TA-M304-7742.0,Design-Year-Forecast-poi-TA-M304-7742.0,00:00:00,23:59:59,volume,36800
Design-Year-TA-M304-7743.0,Design-Year-Model-Run,TA-M304-7743.0,Design-Year-Forecast-poi-TA-M304-7743.0,00:00:00,23:59:59,volume,36800
Design-Year-TA-M304-7744.0,Design-Year-Model-Run,TA-M304-7744.0,Design-Year-Forecast-poi-TA-M304-7744.0,00:00:00,23:59:59,volume,56400
Design-Year-TA-M304-7745.0,Design-Year-Model-Run,TA-M304-7745.0,Design-Year-Forecast-poi-TA-M304-7745.0,00:00:00,23:59:59,volume,56400
Design-Year-TA-M304-7746.0,Design-Year-Model-Run,TA-M304-7746.0,Design-Year-Forecast-poi-TA-M304-7746.0,00:00:00,23:59:59,volume,48600
Design-Year-TA-M304-7747.0,Design-Year-Model-Run,TA-M304-7747.0,Design-Year-Forecast-poi-TA-M304-7747.0,00:00:00,23:59:59,volume,48600
Design-Year-TA-M304-7748.0,Design-Year-Model-Run,TA-M304-7748.0,Design-Year-Forecast-poi-TA-M304-7748.0,00:00:00,23:59:59,volume,40600
Design-Year-TA-M304-7749.0,Design-Year-Model-Run,TA-M304-7749.0,Design-Year-Forecast-poi-TA-M304-7749.0,00:00:00,23:59:59,volume,40600
Design-Year-TA-M304-7750.0,Design-Year-Model-Run,TA-M304-7750.0,Design-Year-Forecast-poi-TA-M304-7750.0,00:00:00,23:59:59,volume,46900
Design-Year-TA-M304-7751.0,Design-Year-Model-Run,TA-M304-7751.0,Design-Year-Forecast-poi-TA-M304-7751.0,00:00:00,23:59:59,volume,46900
Design-Year-TA-M304-7752.0,Design-Year-Model-Run,TA-M304-7752.0,Design-Year-Forecast-poi-TA-M304-7752.0,00:00:00,23:59:59,volume,43200
Design-Year-TA-M304-7753.0,Design-Year-Model-Run,TA-M304-7753.0,Design-Year-Forecast-poi-TA-M304-7753.0,00:00:00,23:59:59,volume,43200
Design-Year-TA-M304-7754.0,Design-Year-Model-Run,TA-M304-7754.0,Design-Year-Forecast-poi-TA-M304-7754.0,00:00:00,23:59:59,volume,47300
Design-Year-TA-M304-7755.0,Design-Year-Model-Run,TA-M304-7755.0,Design-Year-Forecast-poi-TA-M304-7755.0,00:00:00,23:59:59,volume,47300
Design-Year-TA-M304-7756.0,Design-Year-Model-Run,TA-M304-7756.0,Design-Year-Forecast-poi-TA-M304-7756.0,00:00:00,23:59:59,volume,40800
Design-Year-TA-M304-7757.0,Design-Year-Model-Run,TA-M304-7757.0,Design-Year-Forecast-poi-TA-M304-7757.0,00:00:00,23:59:59,volume,40800
Design-Year-TA-M304-7758.0,Design-Year-Model-Run,TA-M304-7758.0,Design-Year-Forecast-poi-TA-M304-7758.0,00:00:00,23:59:59,volume,50000
Design-Year-TA-M304-7759.0,Design-Year-Model-Run,TA-M304-7759.0,Design-Year-Forecast-poi-TA-M304-7759.0,00:00:00,23:59:59,volume,50000
Design-Year-TA-M304-7760.0,Design-Year-Model-Run,TA-M304-7760.0,Design-Year-Forecast-poi-TA-M304-7760.0,00:00:00,23:59:59,volume,25900
Design-Year-TA-M304-7761.0,Design-Year-Model-Run,TA-M304-7761.0,Design-Year-Forecast-poi-TA-M304-7761.0,00:00:00,23:59:59,volume,25900
Design-Year-TA-M304-7762.0,Design-Year-Model-Run,TA-M304-7762.0,Design-Year-Forecast-poi-TA-M304-7762.0,00:00:00,23:59:59,volume,48900
Design-Year-TA-M304-7763.0,Design-Year-Model-Run,TA-M304-7763.0,Design-Year-Forecast-poi-TA-M304-7763.0,00:00:00,23:59:59,volume,48900
