poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TA-M304-7740.0," , I-694West Of I-35WEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694West Of I-35WEB"
TA-M304-7741.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7742.0," , I-694East Of I-35WWest Of TH10EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East Of I-35WWest Of TH10EB"
TA-M304-7743.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7744.0," , I-694East Of TH10West Of HamlineEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East Of TH10West Of HamlineEB"
TA-M304-7745.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7746.0," , I-694East Of HamlineWest of LexingtonEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East Of HamlineWest of LexingtonEB"
TA-M304-7747.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7748.0," , I-694Between LexingtonEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694Between LexingtonEB"
TA-M304-7749.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7750.0," , I-694East Of LexingtonWest Of VictoriaEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East Of LexingtonWest Of VictoriaEB"
TA-M304-7751.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7752.0," , I-694Between VictoriaEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694Between VictoriaEB"
TA-M304-7753.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7754.0," , I-694East Of VictoriaWest Of TH 49EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East Of VictoriaWest Of TH 49EB"
TA-M304-7755.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7756.0," , I-694Between TH 49EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694Between TH 49EB"
TA-M304-7757.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7758.0," , I-694East Of TH 49West Of I-35E/694 CommonsEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694East Of TH 49West Of I-35E/694 CommonsEB"
TA-M304-7759.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7760.0," , I-694Between Western 35E/694 InterchangeEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694Between Western 35E/694 InterchangeEB"
TA-M304-7761.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M304-7762.0," , I-694In The 35E/694 CommonsEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , I-694In The 35E/694 CommonsEB"
TA-M304-7763.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
