forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-TA-M307-7452.0,Design-Year-Model-Run,TA-M307-7452.0,Design-Year-Forecast-poi-TA-M307-7452.0,00:00:00,23:59:59,volume,16200
Design-Year-TA-M307-7453.0,Design-Year-Model-Run,TA-M307-7453.0,Design-Year-Forecast-poi-TA-M307-7453.0,00:00:00,23:59:59,volume,16200
Design-Year-TA-M307-7454.0,Design-Year-Model-Run,TA-M307-7454.0,Design-Year-Forecast-poi-TA-M307-7454.0,00:00:00,23:59:59,volume,12500
Design-Year-TA-M307-7455.0,Design-Year-Model-Run,TA-M307-7455.0,Design-Year-Forecast-poi-TA-M307-7455.0,00:00:00,23:59:59,volume,12500
Design-Year-TA-M307-7456.0,Design-Year-Model-Run,TA-M307-7456.0,Design-Year-Forecast-poi-TA-M307-7456.0,00:00:00,23:59:59,volume,17700
Design-Year-TA-M307-7457.0,Design-Year-Model-Run,TA-M307-7457.0,Design-Year-Forecast-poi-TA-M307-7457.0,00:00:00,23:59:59,volume,17700
Design-Year-TA-M307-7458.0,Design-Year-Model-Run,TA-M307-7458.0,Design-Year-Forecast-poi-TA-M307-7458.0,00:00:00,23:59:59,volume,17700
Design-Year-TA-M307-7459.0,Design-Year-Model-Run,TA-M307-7459.0,Design-Year-Forecast-poi-TA-M307-7459.0,00:00:00,23:59:59,volume,23200
Design-Year-TA-M307-7460.0,Design-Year-Model-Run,TA-M307-7460.0,Design-Year-Forecast-poi-TA-M307-7460.0,00:00:00,23:59:59,volume,26000
Design-Year-TA-M307-7461.0,Design-Year-Model-Run,TA-M307-7461.0,Design-Year-Forecast-poi-TA-M307-7461.0,00:00:00,23:59:59,volume,26000
Design-Year-TA-M307-7462.0,Design-Year-Model-Run,TA-M307-7462.0,Design-Year-Forecast-poi-TA-M307-7462.0,00:00:00,23:59:59,volume,14600
Design-Year-TA-M307-7463.0,Design-Year-Model-Run,TA-M307-7463.0,Design-Year-Forecast-poi-TA-M307-7463.0,00:00:00,23:59:59,volume,16000
Design-Year-TA-M307-7464.0,Design-Year-Model-Run,TA-M307-7464.0,Design-Year-Forecast-poi-TA-M307-7464.0,00:00:00,23:59:59,volume,14600
Design-Year-TA-M307-7465.0,Design-Year-Model-Run,TA-M307-7465.0,Design-Year-Forecast-poi-TA-M307-7465.0,00:00:00,23:59:59,volume,16000
Design-Year-TA-M307-7466.0,Design-Year-Model-Run,TA-M307-7466.0,Design-Year-Forecast-poi-TA-M307-7466.0,00:00:00,23:59:59,volume,14600
Design-Year-TA-M307-7467.0,Design-Year-Model-Run,TA-M307-7467.0,Design-Year-Forecast-poi-TA-M307-7467.0,00:00:00,23:59:59,volume,22400
