obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M307-7452.0-1,TA-M307-7452.0,Design-Year-Forecast-poi-TA-M307-7452.0,unknown,unknown,2000,00:00:00,23:59:59,volume,22000
TA-M307-7453.0-1,TA-M307-7453.0,Design-Year-Forecast-poi-TA-M307-7453.0,unknown,unknown,2000,00:00:00,23:59:59,volume,22000
TA-M307-7454.0-1,TA-M307-7454.0,Design-Year-Forecast-poi-TA-M307-7454.0,unknown,unknown,2000,00:00:00,23:59:59,volume,22000
TA-M307-7455.0-1,TA-M307-7455.0,Design-Year-Forecast-poi-TA-M307-7455.0,unknown,unknown,2000,00:00:00,23:59:59,volume,22000
TA-M307-7456.0-1,TA-M307-7456.0,Design-Year-Forecast-poi-TA-M307-7456.0,unknown,unknown,2000,00:00:00,23:59:59,volume,27000
TA-M307-7457.0-1,TA-M307-7457.0,Design-Year-Forecast-poi-TA-M307-7457.0,unknown,unknown,2000,00:00:00,23:59:59,volume,27000
TA-M307-7458.0-1,TA-M307-7458.0,Design-Year-Forecast-poi-TA-M307-7458.0,unknown,unknown,2000,00:00:00,23:59:59,volume,27000
TA-M307-7459.0-1,TA-M307-7459.0,Design-Year-Forecast-poi-TA-M307-7459.0,unknown,unknown,2000,00:00:00,23:59:59,volume,27000
TA-M307-7460.0-1,TA-M307-7460.0,Design-Year-Forecast-poi-TA-M307-7460.0,unknown,unknown,2000,00:00:00,23:59:59,volume,36000
TA-M307-7461.0-1,TA-M307-7461.0,Design-Year-Forecast-poi-TA-M307-7461.0,unknown,unknown,2000,00:00:00,23:59:59,volume,36000
TA-M307-7462.0-1,TA-M307-7462.0,Design-Year-Forecast-poi-TA-M307-7462.0,unknown,unknown,2000,00:00:00,23:59:59,volume,38000
TA-M307-7463.0-1,TA-M307-7463.0,Design-Year-Forecast-poi-TA-M307-7463.0,unknown,unknown,2000,00:00:00,23:59:59,volume,38000
TA-M307-7464.0-1,TA-M307-7464.0,Design-Year-Forecast-poi-TA-M307-7464.0,unknown,unknown,2000,00:00:00,23:59:59,volume,38000
TA-M307-7465.0-1,TA-M307-7465.0,Design-Year-Forecast-poi-TA-M307-7465.0,unknown,unknown,2000,00:00:00,23:59:59,volume,38000
TA-M307-7466.0-1,TA-M307-7466.0,Design-Year-Forecast-poi-TA-M307-7466.0,unknown,unknown,2000,00:00:00,23:59:59,volume,38000
TA-M307-7467.0-1,TA-M307-7467.0,Design-Year-Forecast-poi-TA-M307-7467.0,unknown,unknown,2000,00:00:00,23:59:59,volume,38000
TA-M307-7468.0-1,TA-M307-7468.0,Design-Year-Forecast-poi-TA-M307-7468.0,unknown,unknown,2000,00:00:00,23:59:59,volume,38000
TA-M307-7469.0-1,TA-M307-7469.0,Design-Year-Forecast-poi-TA-M307-7469.0,unknown,unknown,2000,00:00:00,23:59:59,volume,38000
TA-M307-7470.0-1,TA-M307-7470.0,Design-Year-Forecast-poi-TA-M307-7470.0,unknown,unknown,2000,00:00:00,23:59:59,volume,50000
TA-M307-7471.0-1,TA-M307-7471.0,Design-Year-Forecast-poi-TA-M307-7471.0,unknown,unknown,2000,00:00:00,23:59:59,volume,50000
TA-M307-7472.0-1,TA-M307-7472.0,Design-Year-Forecast-poi-TA-M307-7472.0,unknown,unknown,2000,00:00:00,23:59:59,volume,50000
TA-M307-7473.0-1,TA-M307-7473.0,Design-Year-Forecast-poi-TA-M307-7473.0,unknown,unknown,2000,00:00:00,23:59:59,volume,50000
TA-M307-7474.0-1,TA-M307-7474.0,Design-Year-Forecast-poi-TA-M307-7474.0,unknown,unknown,2000,00:00:00,23:59:59,volume,49000
TA-M307-7475.0-1,TA-M307-7475.0,Design-Year-Forecast-poi-TA-M307-7475.0,unknown,unknown,2000,00:00:00,23:59:59,volume,49000
TA-M307-7476.0-1,TA-M307-7476.0,Design-Year-Forecast-poi-TA-M307-7476.0,unknown,unknown,2000,00:00:00,23:59:59,volume,56500
TA-M307-7477.0-1,TA-M307-7477.0,Design-Year-Forecast-poi-TA-M307-7477.0,unknown,unknown,2000,00:00:00,23:59:59,volume,56500
TA-M307-7478.0-1,TA-M307-7478.0,Design-Year-Forecast-poi-TA-M307-7478.0,unknown,unknown,2000,00:00:00,23:59:59,volume,56500
TA-M307-7479.0-1,TA-M307-7479.0,Design-Year-Forecast-poi-TA-M307-7479.0,unknown,unknown,2000,00:00:00,23:59:59,volume,56500
TA-M307-7480.0-1,TA-M307-7480.0,Design-Year-Forecast-poi-TA-M307-7480.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7481.0-1,TA-M307-7481.0,Design-Year-Forecast-poi-TA-M307-7481.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7482.0-1,TA-M307-7482.0,Design-Year-Forecast-poi-TA-M307-7482.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7483.0-1,TA-M307-7483.0,Design-Year-Forecast-poi-TA-M307-7483.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7484.0-1,TA-M307-7484.0,Design-Year-Forecast-poi-TA-M307-7484.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7485.0-1,TA-M307-7485.0,Design-Year-Forecast-poi-TA-M307-7485.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7486.0-1,TA-M307-7486.0,Design-Year-Forecast-poi-TA-M307-7486.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7487.0-1,TA-M307-7487.0,Design-Year-Forecast-poi-TA-M307-7487.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7488.0-1,TA-M307-7488.0,Design-Year-Forecast-poi-TA-M307-7488.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7489.0-1,TA-M307-7489.0,Design-Year-Forecast-poi-TA-M307-7489.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M307-7490.0-1,TA-M307-7490.0,Design-Year-Forecast-poi-TA-M307-7490.0,unknown,unknown,2000,00:00:00,23:59:59,volume,66000
TA-M307-7491.0-1,TA-M307-7491.0,Design-Year-Forecast-poi-TA-M307-7491.0,unknown,unknown,2000,00:00:00,23:59:59,volume,66000
TA-M307-7492.0-1,TA-M307-7492.0,Design-Year-Forecast-poi-TA-M307-7492.0,unknown,unknown,2000,00:00:00,23:59:59,volume,66000
TA-M307-7493.0-1,TA-M307-7493.0,Design-Year-Forecast-poi-TA-M307-7493.0,unknown,unknown,2000,00:00:00,23:59:59,volume,66000
TA-M307-7494.0-1,TA-M307-7494.0,Design-Year-Forecast-poi-TA-M307-7494.0,unknown,unknown,2000,00:00:00,23:59:59,volume,67000
TA-M307-7495.0-1,TA-M307-7495.0,Design-Year-Forecast-poi-TA-M307-7495.0,unknown,unknown,2000,00:00:00,23:59:59,volume,67000
TA-M307-7496.0-1,TA-M307-7496.0,Design-Year-Forecast-poi-TA-M307-7496.0,unknown,unknown,2000,00:00:00,23:59:59,volume,67000
TA-M307-7497.0-1,TA-M307-7497.0,Design-Year-Forecast-poi-TA-M307-7497.0,unknown,unknown,2000,00:00:00,23:59:59,volume,67000
