forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-TA-M308-7694.0,Design-Year-Model-Run,TA-M308-7694.0,Design-Year-Forecast-poi-TA-M308-7694.0,00:00:00,23:59:59,volume,11000
Design-Year-TA-M308-7695.0,Design-Year-Model-Run,TA-M308-7695.0,Design-Year-Forecast-poi-TA-M308-7695.0,00:00:00,23:59:59,volume,11000
Design-Year-TA-M308-7696.0,Design-Year-Model-Run,TA-M308-7696.0,Design-Year-Forecast-poi-TA-M308-7696.0,00:00:00,23:59:59,volume,7200
Design-Year-TA-M308-7697.0,Design-Year-Model-Run,TA-M308-7697.0,Design-Year-Forecast-poi-TA-M308-7697.0,00:00:00,23:59:59,volume,7200
Design-Year-TA-M308-7698.0,Design-Year-Model-Run,TA-M308-7698.0,Design-Year-Forecast-poi-TA-M308-7698.0,00:00:00,23:59:59,volume,11800
Design-Year-TA-M308-7699.0,Design-Year-Model-Run,TA-M308-7699.0,Design-Year-Forecast-poi-TA-M308-7699.0,00:00:00,23:59:59,volume,11800
Design-Year-TA-M308-7700.0,Design-Year-Model-Run,TA-M308-7700.0,Design-Year-Forecast-poi-TA-M308-7700.0,00:00:00,23:59:59,volume,10600
Design-Year-TA-M308-7701.0,Design-Year-Model-Run,TA-M308-7701.0,Design-Year-Forecast-poi-TA-M308-7701.0,00:00:00,23:59:59,volume,10600
Design-Year-TA-M308-7702.0,Design-Year-Model-Run,TA-M308-7702.0,Design-Year-Forecast-poi-TA-M308-7702.0,00:00:00,23:59:59,volume,11400
Design-Year-TA-M308-7703.0,Design-Year-Model-Run,TA-M308-7703.0,Design-Year-Forecast-poi-TA-M308-7703.0,00:00:00,23:59:59,volume,11400
Design-Year-TA-M308-7704.0,Design-Year-Model-Run,TA-M308-7704.0,Design-Year-Forecast-poi-TA-M308-7704.0,00:00:00,23:59:59,volume,7400
Design-Year-TA-M308-7705.0,Design-Year-Model-Run,TA-M308-7705.0,Design-Year-Forecast-poi-TA-M308-7705.0,00:00:00,23:59:59,volume,7400
Design-Year-TA-M308-7706.0,Design-Year-Model-Run,TA-M308-7706.0,Design-Year-Forecast-poi-TA-M308-7706.0,00:00:00,23:59:59,volume,11900
Design-Year-TA-M308-7707.0,Design-Year-Model-Run,TA-M308-7707.0,Design-Year-Forecast-poi-TA-M308-7707.0,00:00:00,23:59:59,volume,11900
