poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TA-M308-7694.0," , TH 13West Of Nicollet Ave.EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13West Of Nicollet Ave.EB"
TA-M308-7695.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M308-7696.0," , TH 13Between Nicollet Ave.EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13Between Nicollet Ave.EB"
TA-M308-7697.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M308-7698.0," , TH 13Nicollet AvePortland AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13Nicollet AvePortland AveEB"
TA-M308-7699.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M308-7700.0," , TH 13Between Portland Ave.EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13Between Portland Ave.EB"
TA-M308-7701.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M308-7702.0," , TH 13East Of Portland Ave.West of Parkwood AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13East Of Portland Ave.West of Parkwood AveEB"
TA-M308-7703.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M308-7704.0," , TH 13Between Parkwood Dr - 12th AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13Between Parkwood Dr - 12th AveEB"
TA-M308-7705.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M308-7706.0," , TH 13East Of Parkwood Dr - 12th AveEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13East Of Parkwood Dr - 12th AveEB"
TA-M308-7707.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
