obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M309-7586.0-1,TA-M309-7586.0,Design-Year-Forecast-poi-TA-M309-7586.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7587.0-1,TA-M309-7587.0,Design-Year-Forecast-poi-TA-M309-7587.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7588.0-1,TA-M309-7588.0,Design-Year-Forecast-poi-TA-M309-7588.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7589.0-1,TA-M309-7589.0,Design-Year-Forecast-poi-TA-M309-7589.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7590.0-1,TA-M309-7590.0,Design-Year-Forecast-poi-TA-M309-7590.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7591.0-1,TA-M309-7591.0,Design-Year-Forecast-poi-TA-M309-7591.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7592.0-1,TA-M309-7592.0,Design-Year-Forecast-poi-TA-M309-7592.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7593.0-1,TA-M309-7593.0,Design-Year-Forecast-poi-TA-M309-7593.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7594.0-1,TA-M309-7594.0,Design-Year-Forecast-poi-TA-M309-7594.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7595.0-1,TA-M309-7595.0,Design-Year-Forecast-poi-TA-M309-7595.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7596.0-1,TA-M309-7596.0,Design-Year-Forecast-poi-TA-M309-7596.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7597.0-1,TA-M309-7597.0,Design-Year-Forecast-poi-TA-M309-7597.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,21500
TA-M309-7598.0-1,TA-M309-7598.0,Design-Year-Forecast-poi-TA-M309-7598.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,23000
TA-M309-7599.0-1,TA-M309-7599.0,Design-Year-Forecast-poi-TA-M309-7599.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,23000
TA-M309-7600.0-1,TA-M309-7600.0,Design-Year-Forecast-poi-TA-M309-7600.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,23000
TA-M309-7601.0-1,TA-M309-7601.0,Design-Year-Forecast-poi-TA-M309-7601.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,23000
TA-M309-7602.0-1,TA-M309-7602.0,Design-Year-Forecast-poi-TA-M309-7602.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,23000
TA-M309-7603.0-1,TA-M309-7603.0,Design-Year-Forecast-poi-TA-M309-7603.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,23000
TA-M309-7604.0-1,TA-M309-7604.0,Design-Year-Forecast-poi-TA-M309-7604.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,23000
TA-M309-7605.0-1,TA-M309-7605.0,Design-Year-Forecast-poi-TA-M309-7605.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,23000
TA-M309-7606.0-1,TA-M309-7606.0,Design-Year-Forecast-poi-TA-M309-7606.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,27000
TA-M309-7607.0-1,TA-M309-7607.0,Design-Year-Forecast-poi-TA-M309-7607.0,unknown,unknown,2000-01-01,00:00:00,23:59:59,volume,27000
