obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M329-6731.0-1,TA-M329-6731.0,Design-Year-Forecast-poi-TA-M329-6731.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6732.0-1,TA-M329-6732.0,Design-Year-Forecast-poi-TA-M329-6732.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6733.0-1,TA-M329-6733.0,Design-Year-Forecast-poi-TA-M329-6733.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6734.0-1,TA-M329-6734.0,Design-Year-Forecast-poi-TA-M329-6734.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6735.0-1,TA-M329-6735.0,Design-Year-Forecast-poi-TA-M329-6735.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6736.0-1,TA-M329-6736.0,Design-Year-Forecast-poi-TA-M329-6736.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6737.0-1,TA-M329-6737.0,Design-Year-Forecast-poi-TA-M329-6737.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6738.0-1,TA-M329-6738.0,Design-Year-Forecast-poi-TA-M329-6738.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6739.0-1,TA-M329-6739.0,Design-Year-Forecast-poi-TA-M329-6739.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6740.0-1,TA-M329-6740.0,Design-Year-Forecast-poi-TA-M329-6740.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
TA-M329-6741.0-1,TA-M329-6741.0,Design-Year-Forecast-poi-TA-M329-6741.0,unknown,unknown,2010-01-01,00:00:00,23:59:59,volume,7900
