poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TA-M329-6731.0," , TH 610TH 252East River RoadEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 610TH 252East River RoadEB"
TA-M329-6732.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M329-6733.0," , TH 610East River RoadCoons Rapids BlvdEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 610East River RoadCoons Rapids BlvdEB"
TA-M329-6734.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M329-6735.0," , TH 610East of Coons Rapids BlvdEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 610East of Coons Rapids BlvdEB"
TA-M329-6736.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M329-6737.0," , TH 252South of TH 610NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 252South of TH 610NB"
TA-M329-6738.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TA-M329-6739.0," , TH 610Proposed TH 169BroadwayEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 610Proposed TH 169BroadwayEB"
TA-M329-6740.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M329-6741.0," , TH 610Between Broadway RampsEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 610Between Broadway RampsEB"
TA-M329-6742.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TA-M329-6743.0," , TH 610BroadwayZaneEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 610BroadwayZaneEB"
TA-M329-6744.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
