obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M336-6790.0-1,TA-M336-6790.0,Design-Year-Forecast-poi-TA-M336-6790.0,unknown,unknown,2000,00:00:00,23:59:59,volume,58500
TA-M336-6791.0-1,TA-M336-6791.0,Design-Year-Forecast-poi-TA-M336-6791.0,unknown,unknown,2000,00:00:00,23:59:59,volume,58500
TA-M336-6792.0-1,TA-M336-6792.0,Design-Year-Forecast-poi-TA-M336-6792.0,unknown,unknown,2000,00:00:00,23:59:59,volume,58500
TA-M336-6793.0-1,TA-M336-6793.0,Design-Year-Forecast-poi-TA-M336-6793.0,unknown,unknown,2000,00:00:00,23:59:59,volume,58500
TA-M336-6794.0-1,TA-M336-6794.0,Design-Year-Forecast-poi-TA-M336-6794.0,unknown,unknown,2000,00:00:00,23:59:59,volume,55500
TA-M336-6795.0-1,TA-M336-6795.0,Design-Year-Forecast-poi-TA-M336-6795.0,unknown,unknown,2000,00:00:00,23:59:59,volume,55500
TA-M336-6796.0-1,TA-M336-6796.0,Design-Year-Forecast-poi-TA-M336-6796.0,unknown,unknown,2000,00:00:00,23:59:59,volume,55500
TA-M336-6797.0-1,TA-M336-6797.0,Design-Year-Forecast-poi-TA-M336-6797.0,unknown,unknown,2000,00:00:00,23:59:59,volume,55500
TA-M336-6798.0-1,TA-M336-6798.0,Design-Year-Forecast-poi-TA-M336-6798.0,unknown,unknown,2000,00:00:00,23:59:59,volume,52000
TA-M336-6799.0-1,TA-M336-6799.0,Design-Year-Forecast-poi-TA-M336-6799.0,unknown,unknown,2000,00:00:00,23:59:59,volume,52000
TA-M336-6800.0-1,TA-M336-6800.0,Design-Year-Forecast-poi-TA-M336-6800.0,unknown,unknown,2000,00:00:00,23:59:59,volume,52000
TA-M336-6801.0-1,TA-M336-6801.0,Design-Year-Forecast-poi-TA-M336-6801.0,unknown,unknown,2000,00:00:00,23:59:59,volume,52000
TA-M336-6802.0-1,TA-M336-6802.0,Design-Year-Forecast-poi-TA-M336-6802.0,unknown,unknown,2000,00:00:00,23:59:59,volume,60000
TA-M336-6803.0-1,TA-M336-6803.0,Design-Year-Forecast-poi-TA-M336-6803.0,unknown,unknown,2000,00:00:00,23:59:59,volume,60000
TA-M336-6804.0-1,TA-M336-6804.0,Design-Year-Forecast-poi-TA-M336-6804.0,unknown,unknown,2000,00:00:00,23:59:59,volume,60000
TA-M336-6805.0-1,TA-M336-6805.0,Design-Year-Forecast-poi-TA-M336-6805.0,unknown,unknown,2000,00:00:00,23:59:59,volume,60000
TA-M336-6806.0-1,TA-M336-6806.0,Design-Year-Forecast-poi-TA-M336-6806.0,unknown,unknown,2000,00:00:00,23:59:59,volume,61500
TA-M336-6807.0-1,TA-M336-6807.0,Design-Year-Forecast-poi-TA-M336-6807.0,unknown,unknown,2000,00:00:00,23:59:59,volume,61500
TA-M336-6808.0-1,TA-M336-6808.0,Design-Year-Forecast-poi-TA-M336-6808.0,unknown,unknown,2000,00:00:00,23:59:59,volume,61500
TA-M336-6809.0-1,TA-M336-6809.0,Design-Year-Forecast-poi-TA-M336-6809.0,unknown,unknown,2000,00:00:00,23:59:59,volume,61500
TA-M336-6810.0-1,TA-M336-6810.0,Design-Year-Forecast-poi-TA-M336-6810.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M336-6811.0-1,TA-M336-6811.0,Design-Year-Forecast-poi-TA-M336-6811.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M336-6812.0-1,TA-M336-6812.0,Design-Year-Forecast-poi-TA-M336-6812.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M336-6813.0-1,TA-M336-6813.0,Design-Year-Forecast-poi-TA-M336-6813.0,unknown,unknown,2000,00:00:00,23:59:59,volume,59000
TA-M336-6814.0-1,TA-M336-6814.0,Design-Year-Forecast-poi-TA-M336-6814.0,unknown,unknown,2000,00:00:00,23:59:59,volume,35500
TA-M336-6815.0-1,TA-M336-6815.0,Design-Year-Forecast-poi-TA-M336-6815.0,unknown,unknown,2000,00:00:00,23:59:59,volume,35500
