forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f3,1,TA-M343-6856,Design Year,00:00:00,24:00,volume,8050
f3,1,TA-M343-6857,Design Year,00:00:00,24:00,volume,8050
f3,1,TA-M343-6858,Design Year,00:00:00,24:00,volume,7400
f3,1,TA-M343-6859,Design Year,00:00:00,24:00,volume,7400
f3,1,TA-M343-6860,Design Year,00:00:00,24:00,volume,10000
f3,1,TA-M343-6861,Design Year,00:00:00,24:00,volume,10000
f3,1,TA-M343-6862,Design Year,00:00:00,24:00,volume,9400
f3,1,TA-M343-6863,Design Year,00:00:00,24:00,volume,9400
f3,1,TA-M343-6864,Design Year,00:00:00,24:00,volume,10250
f3,1,TA-M343-6865,Design Year,00:00:00,24:00,volume,10250
