poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TA-M343-6856,", , , Lake StreetWest of W River RdEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , Lake StreetWest of W River RdEB"
TA-M343-6857,", , , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , WB"
TA-M343-6858,", , , Lake StreetBetween W River Rd RampsEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , Lake StreetBetween W River Rd RampsEB"
TA-M343-6859,", , , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , WB"
TA-M343-6860,", , , Lake StreetW River RdMississippi River BlvdEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , Lake StreetW River RdMississippi River BlvdEB"
TA-M343-6861,", , , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , WB"
TA-M343-6862,", , , Lake StreetBetween Mississippi River BlvdEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , Lake StreetBetween Mississippi River BlvdEB"
TA-M343-6863,", , , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , WB"
TA-M343-6864,", , , Lake StreetEast of Mississippi River BlvdEB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , Lake StreetEast of Mississippi River BlvdEB"
TA-M343-6865,", , , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , WB"
