obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TA-M358-7660.0-1,TA-M358-7660.0,Design-Year-Forecast-poi-TA-M358-7660.0,unknown,unknown,2000,00:00:00,23:59:59,volume,5250
TA-M358-7661.0-1,TA-M358-7661.0,Design-Year-Forecast-poi-TA-M358-7661.0,unknown,unknown,2000,00:00:00,23:59:59,volume,5250
TA-M358-7662.0-1,TA-M358-7662.0,Design-Year-Forecast-poi-TA-M358-7662.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7663.0-1,TA-M358-7663.0,Design-Year-Forecast-poi-TA-M358-7663.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7664.0-1,TA-M358-7664.0,Design-Year-Forecast-poi-TA-M358-7664.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7665.0-1,TA-M358-7665.0,Design-Year-Forecast-poi-TA-M358-7665.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7666.0-1,TA-M358-7666.0,Design-Year-Forecast-poi-TA-M358-7666.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7667.0-1,TA-M358-7667.0,Design-Year-Forecast-poi-TA-M358-7667.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7668.0-1,TA-M358-7668.0,Design-Year-Forecast-poi-TA-M358-7668.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7669.0-1,TA-M358-7669.0,Design-Year-Forecast-poi-TA-M358-7669.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7670.0-1,TA-M358-7670.0,Design-Year-Forecast-poi-TA-M358-7670.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7671.0-1,TA-M358-7671.0,Design-Year-Forecast-poi-TA-M358-7671.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7672.0-1,TA-M358-7672.0,Design-Year-Forecast-poi-TA-M358-7672.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7673.0-1,TA-M358-7673.0,Design-Year-Forecast-poi-TA-M358-7673.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7674.0-1,TA-M358-7674.0,Design-Year-Forecast-poi-TA-M358-7674.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7675.0-1,TA-M358-7675.0,Design-Year-Forecast-poi-TA-M358-7675.0,unknown,unknown,1990,00:00:00,23:59:59,volume,27000
TA-M358-7676.0-1,TA-M358-7676.0,Design-Year-Forecast-poi-TA-M358-7676.0,unknown,unknown,2010,00:00:00,23:59:59,volume,54000
TA-M358-7677.0-1,TA-M358-7677.0,Design-Year-Forecast-poi-TA-M358-7677.0,unknown,unknown,2010,00:00:00,23:59:59,volume,54000
TA-M358-7678.0-1,TA-M358-7678.0,Design-Year-Forecast-poi-TA-M358-7678.0,unknown,unknown,2010,00:00:00,23:59:59,volume,54000
TA-M358-7679.0-1,TA-M358-7679.0,Design-Year-Forecast-poi-TA-M358-7679.0,unknown,unknown,2010,00:00:00,23:59:59,volume,54000
TA-M358-7680.0-1,TA-M358-7680.0,Design-Year-Forecast-poi-TA-M358-7680.0,unknown,unknown,2010,00:00:00,23:59:59,volume,53000
TA-M358-7681.0-1,TA-M358-7681.0,Design-Year-Forecast-poi-TA-M358-7681.0,unknown,unknown,2010,00:00:00,23:59:59,volume,53000
TA-M358-7682.0-1,TA-M358-7682.0,Design-Year-Forecast-poi-TA-M358-7682.0,unknown,unknown,2010,00:00:00,23:59:59,volume,53000
TA-M358-7683.0-1,TA-M358-7683.0,Design-Year-Forecast-poi-TA-M358-7683.0,unknown,unknown,2010,00:00:00,23:59:59,volume,53000
TA-M358-7684.0-1,TA-M358-7684.0,Design-Year-Forecast-poi-TA-M358-7684.0,unknown,unknown,2010,00:00:00,23:59:59,volume,47000
TA-M358-7685.0-1,TA-M358-7685.0,Design-Year-Forecast-poi-TA-M358-7685.0,unknown,unknown,2010,00:00:00,23:59:59,volume,47000
TA-M358-7686.0-1,TA-M358-7686.0,Design-Year-Forecast-poi-TA-M358-7686.0,unknown,unknown,2010,00:00:00,23:59:59,volume,47000
TA-M358-7687.0-1,TA-M358-7687.0,Design-Year-Forecast-poi-TA-M358-7687.0,unknown,unknown,2010,00:00:00,23:59:59,volume,47000
