obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TAS 3074B-7802-1,TAS 3074B-7802,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,13000
TAS 3074B-7803-1,TAS 3074B-7803,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,13000
TAS 3074B-7804-1,TAS 3074B-7804,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,12500
TAS 3074B-7805-1,TAS 3074B-7805,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,12500
TAS 3074B-7806-1,TAS 3074B-7806,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,12500
TAS 3074B-7807-1,TAS 3074B-7807,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,12500
TAS 3074B-7808-1,TAS 3074B-7808,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11500
TAS 3074B-7809-1,TAS 3074B-7809,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11500
TAS 3074B-7810-1,TAS 3074B-7810,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11500
TAS 3074B-7811-1,TAS 3074B-7811,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11500
TAS 3074B-7812-1,TAS 3074B-7812,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,12250
TAS 3074B-7813-1,TAS 3074B-7813,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,12250
TAS 3074B-7814-1,TAS 3074B-7814,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11000
TAS 3074B-7815-1,TAS 3074B-7815,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11000
TAS 3074B-7816-1,TAS 3074B-7816,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11000
TAS 3074B-7817-1,TAS 3074B-7817,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11000
TAS 3074B-7818-1,TAS 3074B-7818,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,9250
TAS 3074B-7819-1,TAS 3074B-7819,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,9250
TAS 3074B-7820-1,TAS 3074B-7820,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,8500
TAS 3074B-7821-1,TAS 3074B-7821,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,8500
TAS 3074B-7822-1,TAS 3074B-7822,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,8500
TAS 3074B-7823-1,TAS 3074B-7823,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,8500
TAS 3074B-7824-1,TAS 3074B-7824,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11000
TAS 3074B-7825-1,TAS 3074B-7825,Design Year,unknown,unknown,1990,00:00:00,23:59:59,volume,11000
