poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TAS 3074B-7802,", , , TH 61South Of County Road CNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61South Of County Road CNB"
TAS 3074B-7803,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7804,", , , TH 61North Of County Road CSouth Of Willow LaneNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North Of County Road CSouth Of Willow LaneNB"
TAS 3074B-7805,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7806,", , , TH 61North Of Willow LnSouth Of Proposed Lydia AveNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North Of Willow LnSouth Of Proposed Lydia AveNB"
TAS 3074B-7807,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7808,", , , TH 61North Of Proposed Lydia AveSouth Of County Road DNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North Of Proposed Lydia AveSouth Of County Road DNB"
TAS 3074B-7809,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7810,", , , TH 61North of County Road DSouth Of I-694NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North of County Road DSouth Of I-694NB"
TAS 3074B-7811,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7812,", , , TH 61North Of I-694South Of County Road ENB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North Of I-694South Of County Road ENB"
TAS 3074B-7813,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7814,", , , TH 61North Of County Road ESouth Of Scheunemann RdNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North Of County Road ESouth Of Scheunemann RdNB"
TAS 3074B-7815,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7816,", , , TH 61North Of Scheunemann RdSouth Of Cedar StNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North Of Scheunemann RdSouth Of Cedar StNB"
TAS 3074B-7817,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7818,", , , TH 61North Of Cedar StSouth Of County Road FNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North Of Cedar StSouth Of County Road FNB"
TAS 3074B-7819,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7820,", , , TH 61North of County Road FSouth Of Hoffman RdNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North of County Road FSouth Of Hoffman RdNB"
TAS 3074B-7821,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7822,", , , TH 61North of Hoffman RdSouth of Whitaker StNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North of Hoffman RdSouth of Whitaker StNB"
TAS 3074B-7823,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3074B-7824,", , , TH 61North Of WhitakerNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 61North Of WhitakerNB"
TAS 3074B-7825,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
