poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TAS 3081A-14-7852,", , , TH 51South Of TH 36NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 51South Of TH 36NB"
TAS 3081A-14-7853,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3081A-14-7854,", , , TH 51North Of TH 36South Of County Road B-2NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 51North Of TH 36South Of County Road B-2NB"
TAS 3081A-14-7855,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3081A-14-7856,", , , TH 51North of County Road B-2South Of County Road CNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 51North of County Road B-2South Of County Road CNB"
TAS 3081A-14-7857,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3081A-14-7858,", , , TH 51North Of County Road CSouth Of Proposed County Road C-2NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 51North Of County Road CSouth Of Proposed County Road C-2NB"
TAS 3081A-14-7859,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3081A-14-7860,", , , TH 51North of Proposed County Road C-2South Of Hamiline AveNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 51North of Proposed County Road C-2South Of Hamiline AveNB"
TAS 3081A-14-7861,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3081A-14-7862,", , , TH 51Between Hamline AveNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 51Between Hamline AveNB"
TAS 3081A-14-7863,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
TAS 3081A-14-7864,", , , TH 51North Of Hamline AveNB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , TH 51North Of Hamline AveNB"
TAS 3081A-14-7865,", , , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT,", , , SB"
