obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
TAS3082-14-8133.0-1,TAS3082-14-8133.0,Design-Year-Forecast-poi-TAS3082-14-8133.0,unknown,unknown,1985,00:00:00,23:59:59,volume,34200
TAS3082-14-8134.0-1,TAS3082-14-8134.0,Design-Year-Forecast-poi-TAS3082-14-8134.0,unknown,unknown,1985,00:00:00,23:59:59,volume,34200
TAS3082-14-8135.0-1,TAS3082-14-8135.0,Design-Year-Forecast-poi-TAS3082-14-8135.0,unknown,unknown,1985,00:00:00,23:59:59,volume,41025
TAS3082-14-8136.0-1,TAS3082-14-8136.0,Design-Year-Forecast-poi-TAS3082-14-8136.0,unknown,unknown,1985,00:00:00,23:59:59,volume,41025
TAS3082-14-8137.0-1,TAS3082-14-8137.0,Design-Year-Forecast-poi-TAS3082-14-8137.0,unknown,unknown,1985,00:00:00,23:59:59,volume,33775
TAS3082-14-8138.0-1,TAS3082-14-8138.0,Design-Year-Forecast-poi-TAS3082-14-8138.0,unknown,unknown,1985,00:00:00,23:59:59,volume,33775
TAS3082-14-8139.0-1,TAS3082-14-8139.0,Design-Year-Forecast-poi-TAS3082-14-8139.0,unknown,unknown,1985,00:00:00,23:59:59,volume,29675
TAS3082-14-8140.0-1,TAS3082-14-8140.0,Design-Year-Forecast-poi-TAS3082-14-8140.0,unknown,unknown,1985,00:00:00,23:59:59,volume,29675
TAS3082-14-8141.0-1,TAS3082-14-8141.0,Design-Year-Forecast-poi-TAS3082-14-8141.0,unknown,unknown,1985,00:00:00,23:59:59,volume,25250
TAS3082-14-8142.0-1,TAS3082-14-8142.0,Design-Year-Forecast-poi-TAS3082-14-8142.0,unknown,unknown,1985,00:00:00,23:59:59,volume,25250
TAS3082-14-8143.0-1,TAS3082-14-8143.0,Design-Year-Forecast-poi-TAS3082-14-8143.0,unknown,unknown,1985,00:00:00,23:59:59,volume,18700
TAS3082-14-8144.0-1,TAS3082-14-8144.0,Design-Year-Forecast-poi-TAS3082-14-8144.0,unknown,unknown,1985,00:00:00,23:59:59,volume,18700
TAS3082-14-8145.0-1,TAS3082-14-8145.0,Design-Year-Forecast-poi-TAS3082-14-8145.0,unknown,unknown,1985,00:00:00,23:59:59,volume,18075
TAS3082-14-8146.0-1,TAS3082-14-8146.0,Design-Year-Forecast-poi-TAS3082-14-8146.0,unknown,unknown,1985,00:00:00,23:59:59,volume,18075
TAS3082-14-8147.0-1,TAS3082-14-8147.0,Design-Year-Forecast-poi-TAS3082-14-8147.0,unknown,unknown,1985,00:00:00,23:59:59,volume,18075
TAS3082-14-8148.0-1,TAS3082-14-8148.0,Design-Year-Forecast-poi-TAS3082-14-8148.0,unknown,unknown,1985,00:00:00,23:59:59,volume,18075
