forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Design-Year-TAU 3077-8083.0,Design-Year-Model-Run,TAU 3077-8083.0,Design-Year-Forecast-poi-TAU 3077-8083.0,00:00:00,23:59:59,volume,2600
Design-Year-TAU 3077-8084.0,Design-Year-Model-Run,TAU 3077-8084.0,Design-Year-Forecast-poi-TAU 3077-8084.0,00:00:00,23:59:59,volume,2600
Design-Year-TAU 3077-8085.0,Design-Year-Model-Run,TAU 3077-8085.0,Design-Year-Forecast-poi-TAU 3077-8085.0,00:00:00,23:59:59,volume,1800
Design-Year-TAU 3077-8086.0,Design-Year-Model-Run,TAU 3077-8086.0,Design-Year-Forecast-poi-TAU 3077-8086.0,00:00:00,23:59:59,volume,1800
Design-Year-TAU 3077-8087.0,Design-Year-Model-Run,TAU 3077-8087.0,Design-Year-Forecast-poi-TAU 3077-8087.0,00:00:00,23:59:59,volume,2530
Design-Year-TAU 3077-8088.0,Design-Year-Model-Run,TAU 3077-8088.0,Design-Year-Forecast-poi-TAU 3077-8088.0,00:00:00,23:59:59,volume,2530
Design-Year-TAU 3077-8089.0,Design-Year-Model-Run,TAU 3077-8089.0,Design-Year-Forecast-poi-TAU 3077-8089.0,00:00:00,23:59:59,volume,1050
Design-Year-TAU 3077-8090.0,Design-Year-Model-Run,TAU 3077-8090.0,Design-Year-Forecast-poi-TAU 3077-8090.0,00:00:00,23:59:59,volume,1050
Design-Year-TAU 3077-8091.0,Design-Year-Model-Run,TAU 3077-8091.0,Design-Year-Forecast-poi-TAU 3077-8091.0,00:00:00,23:59:59,volume,1980
Design-Year-TAU 3077-8092.0,Design-Year-Model-Run,TAU 3077-8092.0,Design-Year-Forecast-poi-TAU 3077-8092.0,00:00:00,23:59:59,volume,1980
