poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
TAU3204A-8169.0," , TH 13West of TH 10EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13West of TH 10EB"
TAU3204A-8170.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
TAU3204A-8171.0," , TH 13South of Township Road 243+04NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13South of Township Road 243+04NB"
TAU3204A-8172.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8173.0," , TH 13North Of Township Road 243+04South Of Township Road 285+48NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of Township Road 243+04South Of Township Road 285+48NB"
TAU3204A-8174.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8175.0," , TH 13North Of Township Road 285+48South of County Road SANB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of Township Road 285+48South of County Road SANB"
TAU3204A-8176.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8177.0," , TH 13North Of County Road SASouth Of Township Road 339+20/55NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of County Road SASouth Of Township Road 339+20/55NB"
TAU3204A-8178.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8179.0," , TH 13North Of Township Road 339+20/55South Of Township Road 366+44NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of Township Road 339+20/55South Of Township Road 366+44NB"
TAU3204A-8180.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8181.0," , TH 13North Of Township Road 366+44South Of Township Road 409+48/52NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of Township Road 366+44South Of Township Road 409+48/52NB"
TAU3204A-8182.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8183.0," , TH 13North Of Township Road 409+48/52South Of Township Road 462+15NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of Township Road 409+48/52South Of Township Road 462+15NB"
TAU3204A-8184.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8185.0," , TH 13North Of Township Road 462+15South Of County Road 8NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of Township Road 462+15South Of County Road 8NB"
TAU3204A-8186.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8187.0," , TH 13North Of County Road 8South Of County Road 10NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of County Road 8South Of County Road 10NB"
TAU3204A-8188.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8189.0," , TH 13North Of County Road 10South Of Township Road 675+47NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of County Road 10South Of Township Road 675+47NB"
TAU3204A-8190.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8191.0," , TH 13North Of Township Road 675+47South Of TH 282NB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13North Of Township Road 675+47South Of TH 282NB"
TAU3204A-8192.0," , SB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , SB"
TAU3204A-8193.0," , TH 13East Of TH 282EB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , TH 13East Of TH 282EB"
TAU3204A-8194.0," , WB",,,,unknown,unknown,unknown,,Minnesota,MinnesotaDOT," , WB"
