poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
100553-5115,  WAR222.01,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,  WAR222.01
100553-5116,  WAR224.01,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,  WAR224.01
100553-5117,  WAR487.87,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,  WAR487.87
100553-5118,  WAR489.48,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,  WAR489.48
100553-5119,  WAR4810.68,3-Principal Arterial,,,unknown,Principal Arterial,Principal Arterial,,Ohio,OhioDOT,  WAR4810.68
100553-5159,  WAR485.8,4-Minor Arterial,,,unknown,Minor Arterial,Minor Arterial,,Ohio,OhioDOT,  WAR485.8
100553-5222,  WAR226.72,5-Major Collector,,,unknown,Major Collector,Major Collector,,Ohio,OhioDOT,  WAR226.72
100553-5223,  WAR229.39,5-Major Collector,,,unknown,Major Collector,Major Collector,,Ohio,OhioDOT,  WAR229.39
100553-5224,  WAR2211.57,5-Major Collector,,,unknown,Major Collector,Major Collector,,Ohio,OhioDOT,  WAR2211.57
100553-5225,  WAR2212.73,5-Major Collector,,,unknown,Major Collector,Major Collector,,Ohio,OhioDOT,  WAR2212.73
