forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-100610-4346.0,Opening-Year-Model-Run,100610-4346.0,Opening-Year-Forecast-poi-100610-4346.0,00:00:00,23:59:59,volume,20000
Design-Year-100610-4346.0,Design-Year-Model-Run,100610-4346.0,Design-Year-Forecast-poi-100610-4346.0,00:00:00,23:59:59,volume,20000
Opening-Year-100610-4347.0,Opening-Year-Model-Run,100610-4347.0,Opening-Year-Forecast-poi-100610-4347.0,00:00:00,23:59:59,volume,10000
Design-Year-100610-4347.0,Design-Year-Model-Run,100610-4347.0,Design-Year-Forecast-poi-100610-4347.0,00:00:00,23:59:59,volume,10000
Opening-Year-100610-4364.0,Opening-Year-Model-Run,100610-4364.0,Opening-Year-Forecast-poi-100610-4364.0,00:00:00,23:59:59,volume,5700
Design-Year-100610-4364.0,Design-Year-Model-Run,100610-4364.0,Design-Year-Forecast-poi-100610-4364.0,00:00:00,23:59:59,volume,6400
Opening-Year-100610-4365.0,Opening-Year-Model-Run,100610-4365.0,Opening-Year-Forecast-poi-100610-4365.0,00:00:00,23:59:59,volume,9300
Design-Year-100610-4365.0,Design-Year-Model-Run,100610-4365.0,Design-Year-Forecast-poi-100610-4365.0,00:00:00,23:59:59,volume,11000
Opening-Year-100610-4366.0,Opening-Year-Model-Run,100610-4366.0,Opening-Year-Forecast-poi-100610-4366.0,00:00:00,23:59:59,volume,7900
Design-Year-100610-4366.0,Design-Year-Model-Run,100610-4366.0,Design-Year-Forecast-poi-100610-4366.0,00:00:00,23:59:59,volume,9200
Opening-Year-100610-4433.0,Opening-Year-Model-Run,100610-4433.0,Opening-Year-Forecast-poi-100610-4433.0,00:00:00,23:59:59,volume,4400
Design-Year-100610-4433.0,Design-Year-Model-Run,100610-4433.0,Design-Year-Forecast-poi-100610-4433.0,00:00:00,23:59:59,volume,4600
Opening-Year-100610-4434.0,Opening-Year-Model-Run,100610-4434.0,Opening-Year-Forecast-poi-100610-4434.0,00:00:00,23:59:59,volume,4300
Design-Year-100610-4434.0,Design-Year-Model-Run,100610-4434.0,Design-Year-Forecast-poi-100610-4434.0,00:00:00,23:59:59,volume,4500
