forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-100652-5042.0,Opening-Year-Model-Run,100652-5042.0,Opening-Year-Forecast-poi-100652-5042.0,00:00:00,23:59:59,volume,73000
Design-Year-100652-5042.0,Design-Year-Model-Run,100652-5042.0,Design-Year-Forecast-poi-100652-5042.0,00:00:00,23:59:59,volume,73000
Opening-Year-100652-5043.0,Opening-Year-Model-Run,100652-5043.0,Opening-Year-Forecast-poi-100652-5043.0,00:00:00,23:59:59,volume,87000
Design-Year-100652-5043.0,Design-Year-Model-Run,100652-5043.0,Design-Year-Forecast-poi-100652-5043.0,00:00:00,23:59:59,volume,87000
Opening-Year-100652-5044.0,Opening-Year-Model-Run,100652-5044.0,Opening-Year-Forecast-poi-100652-5044.0,00:00:00,23:59:59,volume,124000
Design-Year-100652-5044.0,Design-Year-Model-Run,100652-5044.0,Design-Year-Forecast-poi-100652-5044.0,00:00:00,23:59:59,volume,125000
Opening-Year-100652-5045.0,Opening-Year-Model-Run,100652-5045.0,Opening-Year-Forecast-poi-100652-5045.0,00:00:00,23:59:59,volume,117000
Design-Year-100652-5045.0,Design-Year-Model-Run,100652-5045.0,Design-Year-Forecast-poi-100652-5045.0,00:00:00,23:59:59,volume,125000
Opening-Year-100652-5046.0,Opening-Year-Model-Run,100652-5046.0,Opening-Year-Forecast-poi-100652-5046.0,00:00:00,23:59:59,volume,77000
Design-Year-100652-5046.0,Design-Year-Model-Run,100652-5046.0,Design-Year-Forecast-poi-100652-5046.0,00:00:00,23:59:59,volume,86000
Opening-Year-100652-5047.0,Opening-Year-Model-Run,100652-5047.0,Opening-Year-Forecast-poi-100652-5047.0,00:00:00,23:59:59,volume,77000
Design-Year-100652-5047.0,Design-Year-Model-Run,100652-5047.0,Design-Year-Forecast-poi-100652-5047.0,00:00:00,23:59:59,volume,86000
Opening-Year-100652-5048.0,Opening-Year-Model-Run,100652-5048.0,Opening-Year-Forecast-poi-100652-5048.0,00:00:00,23:59:59,volume,77000
Design-Year-100652-5048.0,Design-Year-Model-Run,100652-5048.0,Design-Year-Forecast-poi-100652-5048.0,00:00:00,23:59:59,volume,86000
Opening-Year-100652-5049.0,Opening-Year-Model-Run,100652-5049.0,Opening-Year-Forecast-poi-100652-5049.0,00:00:00,23:59:59,volume,87000
Design-Year-100652-5049.0,Design-Year-Model-Run,100652-5049.0,Design-Year-Forecast-poi-100652-5049.0,00:00:00,23:59:59,volume,119000
Opening-Year-100652-5091.0,Opening-Year-Model-Run,100652-5091.0,Opening-Year-Forecast-poi-100652-5091.0,00:00:00,23:59:59,volume,33000
Design-Year-100652-5091.0,Design-Year-Model-Run,100652-5091.0,Design-Year-Forecast-poi-100652-5091.0,00:00:00,23:59:59,volume,35000
Opening-Year-100652-5092.0,Opening-Year-Model-Run,100652-5092.0,Opening-Year-Forecast-poi-100652-5092.0,00:00:00,23:59:59,volume,21000
Design-Year-100652-5092.0,Design-Year-Model-Run,100652-5092.0,Design-Year-Forecast-poi-100652-5092.0,00:00:00,23:59:59,volume,23000
Opening-Year-100652-5094.0,Opening-Year-Model-Run,100652-5094.0,Opening-Year-Forecast-poi-100652-5094.0,00:00:00,23:59:59,volume,122000
Design-Year-100652-5094.0,Design-Year-Model-Run,100652-5094.0,Design-Year-Forecast-poi-100652-5094.0,00:00:00,23:59:59,volume,136000
Opening-Year-100652-5129.0,Opening-Year-Model-Run,100652-5129.0,Opening-Year-Forecast-poi-100652-5129.0,00:00:00,23:59:59,volume,24000
Design-Year-100652-5129.0,Design-Year-Model-Run,100652-5129.0,Design-Year-Forecast-poi-100652-5129.0,00:00:00,23:59:59,volume,28000
Opening-Year-100652-5130.0,Opening-Year-Model-Run,100652-5130.0,Opening-Year-Forecast-poi-100652-5130.0,00:00:00,23:59:59,volume,24000
Design-Year-100652-5130.0,Design-Year-Model-Run,100652-5130.0,Design-Year-Forecast-poi-100652-5130.0,00:00:00,23:59:59,volume,28000
Opening-Year-100652-5131.0,Opening-Year-Model-Run,100652-5131.0,Opening-Year-Forecast-poi-100652-5131.0,00:00:00,23:59:59,volume,24000
Design-Year-100652-5131.0,Design-Year-Model-Run,100652-5131.0,Design-Year-Forecast-poi-100652-5131.0,00:00:00,23:59:59,volume,3063000
Opening-Year-100652-5132.0,Opening-Year-Model-Run,100652-5132.0,Opening-Year-Forecast-poi-100652-5132.0,00:00:00,23:59:59,volume,24000
Design-Year-100652-5132.0,Design-Year-Model-Run,100652-5132.0,Design-Year-Forecast-poi-100652-5132.0,00:00:00,23:59:59,volume,28000
Opening-Year-100652-5135.0,Opening-Year-Model-Run,100652-5135.0,Opening-Year-Forecast-poi-100652-5135.0,00:00:00,23:59:59,volume,5300
Design-Year-100652-5135.0,Design-Year-Model-Run,100652-5135.0,Design-Year-Forecast-poi-100652-5135.0,00:00:00,23:59:59,volume,6100
Opening-Year-100652-5136.0,Opening-Year-Model-Run,100652-5136.0,Opening-Year-Forecast-poi-100652-5136.0,00:00:00,23:59:59,volume,3300
Design-Year-100652-5136.0,Design-Year-Model-Run,100652-5136.0,Design-Year-Forecast-poi-100652-5136.0,00:00:00,23:59:59,volume,3400
