obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
100652-5042.0-1,100652-5042.0,Opening-Year-Forecast-poi-100652-5042.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,71354
100652-5043.0-1,100652-5043.0,Opening-Year-Forecast-poi-100652-5043.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,86335
100652-5044.0-1,100652-5044.0,Opening-Year-Forecast-poi-100652-5044.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,139509
100652-5045.0-1,100652-5045.0,Opening-Year-Forecast-poi-100652-5045.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,131201
100652-5046.0-1,100652-5046.0,Opening-Year-Forecast-poi-100652-5046.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,76350
100652-5047.0-1,100652-5047.0,Opening-Year-Forecast-poi-100652-5047.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,76350
100652-5048.0-1,100652-5048.0,Opening-Year-Forecast-poi-100652-5048.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,76350
100652-5049.0-1,100652-5049.0,Opening-Year-Forecast-poi-100652-5049.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,74266
100652-5091.0-1,100652-5091.0,Opening-Year-Forecast-poi-100652-5091.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,34295
100652-5092.0-1,100652-5092.0,Opening-Year-Forecast-poi-100652-5092.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,20068
100652-5094.0-1,100652-5094.0,Opening-Year-Forecast-poi-100652-5094.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,69963
100652-5129.0-1,100652-5129.0,Opening-Year-Forecast-poi-100652-5129.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,24440
100652-5130.0-1,100652-5130.0,Opening-Year-Forecast-poi-100652-5130.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,24440
100652-5131.0-1,100652-5131.0,Opening-Year-Forecast-poi-100652-5131.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,24440
100652-5132.0-1,100652-5132.0,Opening-Year-Forecast-poi-100652-5132.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,24440
100652-5135.0-1,100652-5135.0,Opening-Year-Forecast-poi-100652-5135.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,5391
100652-5136.0-1,100652-5136.0,Opening-Year-Forecast-poi-100652-5136.0,unknown,unknown,2015-01-01,00:00:00,23:59:59,volume,4452
