poi_id,poi_short_name,facility_name,start,end,area_type,facility_type,functional_class,features,state,jurisdiction,poi_description
101179-5181.0, MRW4213.01,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, MRW4213.01
101179-5182.0, MRW4213.37,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, MRW4213.37
101179-5183.0, MRW4213.55,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, MRW4213.55
101179-5184.0, MRW4216.56,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, MRW4216.56
101179-5185.0, MRW4221.79,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, MRW4221.79
101179-5186.0, MRW4224.95,4-Minor Arterial,,,rural,Minor Arterial,Minor Arterial,,Ohio,OhioDOT, MRW4224.95
101179-5242.0, MRW6114.51,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, MRW6114.51
101179-5243.0, MRW22913.85,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, MRW22913.85
101179-5244.0, MRW3146.99,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, MRW3146.99
101179-5245.0, MRW31414.99,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, MRW31414.99
101179-5246.0, MRW31422.86,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, MRW31422.86
101179-5247.0, MRW31425.86,5-Major Collector,,,rural,Major Collector,Major Collector,,Ohio,OhioDOT, MRW31425.86
