forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,101207-4351,Opening Year,00:00,24:00,volume,20000
f3,1,101207-4351,Design Year,00:00,24:00,volume,23000
f1,1,101207-4361,Opening Year,00:00,24:00,volume,29000
f3,1,101207-4361,Design Year,00:00,24:00,volume,31000
f1,1,101207-4362,Opening Year,00:00,24:00,volume,26000
f3,1,101207-4362,Design Year,00:00,24:00,volume,30000
f1,1,101207-4367,Opening Year,00:00,24:00,volume,26000
f3,1,101207-4367,Design Year,00:00,24:00,volume,30000
f1,1,101207-4403,Opening Year,00:00,24:00,volume,7800
f3,1,101207-4403,Design Year,00:00,24:00,volume,8600
f1,1,101207-4435,Opening Year,00:00,24:00,volume,5000
f3,1,101207-4435,Design Year,00:00,24:00,volume,6000
f1,1,101207-4436,Opening Year,00:00,24:00,volume,5800
f3,1,101207-4436,Design Year,00:00,24:00,volume,7600
f1,1,101207-4464,Opening Year,00:00,24:00,volume,5500
f3,1,101207-4464,Design Year,00:00,24:00,volume,6400
f1,1,101207-4501,Opening Year,00:00,24:00,volume,4000
f3,1,101207-4501,Design Year,00:00,24:00,volume,5300
f1,1,101207-4502,Opening Year,00:00,24:00,volume,1500
f3,1,101207-4502,Design Year,00:00,24:00,volume,2000
f1,1,101207-4506,Opening Year,00:00,24:00,volume,1900
f3,1,101207-4506,Design Year,00:00,24:00,volume,2400
f1,1,101207-4507,Opening Year,00:00,24:00,volume,5500
f3,1,101207-4507,Design Year,00:00,24:00,volume,6200
f1,1,101207-4508,Opening Year,00:00,24:00,volume,3300
f3,1,101207-4508,Design Year,00:00,24:00,volume,3700
f1,1,101207-4509,Opening Year,00:00,24:00,volume,5500
f3,1,101207-4509,Design Year,00:00,24:00,volume,6600
f1,1,101207-4510,Opening Year,00:00,24:00,volume,3300
f3,1,101207-4510,Design Year,00:00,24:00,volume,3400
f1,1,101207-4511,Opening Year,00:00,24:00,volume,2500
f3,1,101207-4511,Design Year,00:00,24:00,volume,2500
f1,1,101207-4512,Opening Year,00:00,24:00,volume,1600
f3,1,101207-4512,Design Year,00:00,24:00,volume,2100
