forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,101209-4301,Opening Year,00:00:00,00:00:00,volume,47000
f3,1,101209-4301,Design Year,00:00:00,00:00:00,volume,53000
f1,1,101209-4513,Opening Year,00:00:00,00:00:00,volume,1100
f3,1,101209-4513,Design Year,00:00:00,00:00:00,volume,1100
f1,1,101209-4514,Opening Year,00:00:00,00:00:00,volume,2500
f3,1,101209-4514,Design Year,00:00:00,00:00:00,volume,2500
f1,1,101209-4515,Opening Year,00:00:00,00:00:00,volume,3000
f3,1,101209-4515,Design Year,00:00:00,00:00:00,volume,3200
f1,1,101209-4516,Opening Year,00:00:00,00:00:00,volume,1700
f3,1,101209-4516,Design Year,00:00:00,00:00:00,volume,1700
f1,1,101209-4517,Opening Year,00:00:00,00:00:00,volume,2200
f3,1,101209-4517,Design Year,00:00:00,00:00:00,volume,2200
f1,1,101209-4518,Opening Year,00:00:00,00:00:00,volume,1400
f3,1,101209-4518,Design Year,00:00:00,00:00:00,volume,1400
