forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-101246-5299.0,Opening-Year-Model-Run,101246-5299.0,Opening-Year-Forecast-poi-101246-5299.0,00:00:00,23:59:59,volume,19000
Design-Year-101246-5299.0,Design-Year-Model-Run,101246-5299.0,Design-Year-Forecast-poi-101246-5299.0,00:00:00,23:59:59,volume,19000
Opening-Year-101246-5308.0,Opening-Year-Model-Run,101246-5308.0,Opening-Year-Forecast-poi-101246-5308.0,00:00:00,23:59:59,volume,23000
Design-Year-101246-5308.0,Design-Year-Model-Run,101246-5308.0,Design-Year-Forecast-poi-101246-5308.0,00:00:00,23:59:59,volume,23000
Opening-Year-101246-5309.0,Opening-Year-Model-Run,101246-5309.0,Opening-Year-Forecast-poi-101246-5309.0,00:00:00,23:59:59,volume,20000
Design-Year-101246-5309.0,Design-Year-Model-Run,101246-5309.0,Design-Year-Forecast-poi-101246-5309.0,00:00:00,23:59:59,volume,22000
Opening-Year-101246-5310.0,Opening-Year-Model-Run,101246-5310.0,Opening-Year-Forecast-poi-101246-5310.0,00:00:00,23:59:59,volume,25000
Design-Year-101246-5310.0,Design-Year-Model-Run,101246-5310.0,Design-Year-Forecast-poi-101246-5310.0,00:00:00,23:59:59,volume,25000
Opening-Year-101246-5311.0,Opening-Year-Model-Run,101246-5311.0,Opening-Year-Forecast-poi-101246-5311.0,00:00:00,23:59:59,volume,23000
Design-Year-101246-5311.0,Design-Year-Model-Run,101246-5311.0,Design-Year-Forecast-poi-101246-5311.0,00:00:00,23:59:59,volume,24000
Opening-Year-101246-5323.0,Opening-Year-Model-Run,101246-5323.0,Opening-Year-Forecast-poi-101246-5323.0,00:00:00,23:59:59,volume,4500
Design-Year-101246-5323.0,Design-Year-Model-Run,101246-5323.0,Design-Year-Forecast-poi-101246-5323.0,00:00:00,23:59:59,volume,5300
Opening-Year-101246-5324.0,Opening-Year-Model-Run,101246-5324.0,Opening-Year-Forecast-poi-101246-5324.0,00:00:00,23:59:59,volume,6700
Design-Year-101246-5324.0,Design-Year-Model-Run,101246-5324.0,Design-Year-Forecast-poi-101246-5324.0,00:00:00,23:59:59,volume,6700
Opening-Year-101246-5325.0,Opening-Year-Model-Run,101246-5325.0,Opening-Year-Forecast-poi-101246-5325.0,00:00:00,23:59:59,volume,9900
Design-Year-101246-5325.0,Design-Year-Model-Run,101246-5325.0,Design-Year-Forecast-poi-101246-5325.0,00:00:00,23:59:59,volume,11000
Opening-Year-101246-5339.0,Opening-Year-Model-Run,101246-5339.0,Opening-Year-Forecast-poi-101246-5339.0,00:00:00,23:59:59,volume,6500
Design-Year-101246-5339.0,Design-Year-Model-Run,101246-5339.0,Design-Year-Forecast-poi-101246-5339.0,00:00:00,23:59:59,volume,8000
