forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-101308-4836.0,Opening-Year-Model-Run,101308-4836.0,Opening-Year-Forecast-poi-101308-4836.0,00:00:00,23:59:59,volume,90000
Design-Year-101308-4836.0,Design-Year-Model-Run,101308-4836.0,Design-Year-Forecast-poi-101308-4836.0,00:00:00,23:59:59,volume,94000
Opening-Year-101308-4861.0,Opening-Year-Model-Run,101308-4861.0,Opening-Year-Forecast-poi-101308-4861.0,00:00:00,23:59:59,volume,12000
Design-Year-101308-4861.0,Design-Year-Model-Run,101308-4861.0,Design-Year-Forecast-poi-101308-4861.0,00:00:00,23:59:59,volume,14000
Opening-Year-101308-4862.0,Opening-Year-Model-Run,101308-4862.0,Opening-Year-Forecast-poi-101308-4862.0,00:00:00,23:59:59,volume,7200
Design-Year-101308-4862.0,Design-Year-Model-Run,101308-4862.0,Design-Year-Forecast-poi-101308-4862.0,00:00:00,23:59:59,volume,9400
Opening-Year-101308-4863.0,Opening-Year-Model-Run,101308-4863.0,Opening-Year-Forecast-poi-101308-4863.0,00:00:00,23:59:59,volume,8900
Design-Year-101308-4863.0,Design-Year-Model-Run,101308-4863.0,Design-Year-Forecast-poi-101308-4863.0,00:00:00,23:59:59,volume,11000
Opening-Year-101308-4864.0,Opening-Year-Model-Run,101308-4864.0,Opening-Year-Forecast-poi-101308-4864.0,00:00:00,23:59:59,volume,14000
Design-Year-101308-4864.0,Design-Year-Model-Run,101308-4864.0,Design-Year-Forecast-poi-101308-4864.0,00:00:00,23:59:59,volume,17000
Opening-Year-101308-4868.0,Opening-Year-Model-Run,101308-4868.0,Opening-Year-Forecast-poi-101308-4868.0,00:00:00,23:59:59,volume,25000
Design-Year-101308-4868.0,Design-Year-Model-Run,101308-4868.0,Design-Year-Forecast-poi-101308-4868.0,00:00:00,23:59:59,volume,33000
Opening-Year-101308-4869.0,Opening-Year-Model-Run,101308-4869.0,Opening-Year-Forecast-poi-101308-4869.0,00:00:00,23:59:59,volume,26000
Design-Year-101308-4869.0,Design-Year-Model-Run,101308-4869.0,Design-Year-Forecast-poi-101308-4869.0,00:00:00,23:59:59,volume,34000
Opening-Year-101308-4870.0,Opening-Year-Model-Run,101308-4870.0,Opening-Year-Forecast-poi-101308-4870.0,00:00:00,23:59:59,volume,14000
Design-Year-101308-4870.0,Design-Year-Model-Run,101308-4870.0,Design-Year-Forecast-poi-101308-4870.0,00:00:00,23:59:59,volume,17000
Opening-Year-101308-4871.0,Opening-Year-Model-Run,101308-4871.0,Opening-Year-Forecast-poi-101308-4871.0,00:00:00,23:59:59,volume,6600
Design-Year-101308-4871.0,Design-Year-Model-Run,101308-4871.0,Design-Year-Forecast-poi-101308-4871.0,00:00:00,23:59:59,volume,8600
Opening-Year-101308-4893.0,Opening-Year-Model-Run,101308-4893.0,Opening-Year-Forecast-poi-101308-4893.0,00:00:00,23:59:59,volume,14000
