forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-101309-5822.0,Opening-Year-Model-Run,101309-5822.0,Opening-Year-Forecast-poi-101309-5822.0,00:00:00,23:59:59,volume,24000
Design-Year-101309-5822.0,Design-Year-Model-Run,101309-5822.0,Design-Year-Forecast-poi-101309-5822.0,00:00:00,23:59:59,volume,26000
Opening-Year-101309-5831.0,Opening-Year-Model-Run,101309-5831.0,Opening-Year-Forecast-poi-101309-5831.0,00:00:00,23:59:59,volume,29000
Design-Year-101309-5831.0,Design-Year-Model-Run,101309-5831.0,Design-Year-Forecast-poi-101309-5831.0,00:00:00,23:59:59,volume,31000
Opening-Year-101309-5848.0,Opening-Year-Model-Run,101309-5848.0,Opening-Year-Forecast-poi-101309-5848.0,00:00:00,23:59:59,volume,17000
Design-Year-101309-5848.0,Design-Year-Model-Run,101309-5848.0,Design-Year-Forecast-poi-101309-5848.0,00:00:00,23:59:59,volume,19000
Opening-Year-101309-5849.0,Opening-Year-Model-Run,101309-5849.0,Opening-Year-Forecast-poi-101309-5849.0,00:00:00,23:59:59,volume,22000
Design-Year-101309-5849.0,Design-Year-Model-Run,101309-5849.0,Design-Year-Forecast-poi-101309-5849.0,00:00:00,23:59:59,volume,24000
Opening-Year-101309-5850.0,Opening-Year-Model-Run,101309-5850.0,Opening-Year-Forecast-poi-101309-5850.0,00:00:00,23:59:59,volume,12000
Design-Year-101309-5850.0,Design-Year-Model-Run,101309-5850.0,Design-Year-Forecast-poi-101309-5850.0,00:00:00,23:59:59,volume,14000
