forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
f1,1,101312-5164,Opening Year,00:00,24:00,volume,4300
f3,1,101312-5164,Design Year,00:00,24:00,volume,4600
f1,1,101312-5217,Opening Year,00:00,24:00,volume,5100
f3,1,101312-5217,Design Year,00:00,24:00,volume,5900
f1,1,101312-5218,Opening Year,00:00,24:00,volume,3300
f3,1,101312-5218,Design Year,00:00,24:00,volume,3300
f1,1,101312-5219,Opening Year,00:00,24:00,volume,3700
f3,1,101312-5219,Design Year,00:00,24:00,volume,3700
f1,1,101312-5220,Opening Year,00:00,24:00,volume,4300
f3,1,101312-5220,Design Year,00:00,24:00,volume,4300
f1,1,101312-5229,Opening Year,00:00,24:00,volume,5300
f3,1,101312-5229,Design Year,00:00,24:00,volume,5300
f1,1,101312-5272,Opening Year,00:00,24:00,volume,3800
f3,1,101312-5272,Design Year,00:00,24:00,volume,3900
f1,1,101312-5273,Opening Year,00:00,24:00,volume,3800
f3,1,101312-5273,Design Year,00:00,24:00,volume,3800
f1,1,101312-5274,Opening Year,00:00,24:00,volume,3300
f3,1,101312-5274,Design Year,00:00,24:00,volume,3300
f1,1,101312-5289,Opening Year,00:00,24:00,volume,6300
f3,1,101312-5289,Design Year,00:00,24:00,volume,6600
