forecast_id,run_id,poi_id,forecast_match_id,start_time,end_time,forecast_variable,forecast_value
Opening-Year-101326-4291.0,Opening-Year-Model-Run,101326-4291.0,Opening-Year-Forecast-poi-101326-4291.0,00:00:00,23:59:59,volume,135000
Design-Year-101326-4291.0,Design-Year-Model-Run,101326-4291.0,Design-Year-Forecast-poi-101326-4291.0,00:00:00,23:59:59,volume,148000
Opening-Year-101326-4292.0,Opening-Year-Model-Run,101326-4292.0,Opening-Year-Forecast-poi-101326-4292.0,00:00:00,23:59:59,volume,147000
Design-Year-101326-4292.0,Design-Year-Model-Run,101326-4292.0,Design-Year-Forecast-poi-101326-4292.0,00:00:00,23:59:59,volume,157000
Opening-Year-101326-4336.0,Opening-Year-Model-Run,101326-4336.0,Opening-Year-Forecast-poi-101326-4336.0,00:00:00,23:59:59,volume,22000
Design-Year-101326-4336.0,Design-Year-Model-Run,101326-4336.0,Design-Year-Forecast-poi-101326-4336.0,00:00:00,23:59:59,volume,23000
Opening-Year-101326-4337.0,Opening-Year-Model-Run,101326-4337.0,Opening-Year-Forecast-poi-101326-4337.0,00:00:00,23:59:59,volume,23000
Design-Year-101326-4337.0,Design-Year-Model-Run,101326-4337.0,Design-Year-Forecast-poi-101326-4337.0,00:00:00,23:59:59,volume,24000
Opening-Year-101326-4338.0,Opening-Year-Model-Run,101326-4338.0,Opening-Year-Forecast-poi-101326-4338.0,00:00:00,23:59:59,volume,20000
Design-Year-101326-4338.0,Design-Year-Model-Run,101326-4338.0,Design-Year-Forecast-poi-101326-4338.0,00:00:00,23:59:59,volume,22000
Opening-Year-101326-4339.0,Opening-Year-Model-Run,101326-4339.0,Opening-Year-Forecast-poi-101326-4339.0,00:00:00,23:59:59,volume,23000
Design-Year-101326-4339.0,Design-Year-Model-Run,101326-4339.0,Design-Year-Forecast-poi-101326-4339.0,00:00:00,23:59:59,volume,23000
Opening-Year-101326-4394.0,Opening-Year-Model-Run,101326-4394.0,Opening-Year-Forecast-poi-101326-4394.0,00:00:00,23:59:59,volume,7600
Design-Year-101326-4394.0,Design-Year-Model-Run,101326-4394.0,Design-Year-Forecast-poi-101326-4394.0,00:00:00,23:59:59,volume,8600
Opening-Year-101326-4414.0,Opening-Year-Model-Run,101326-4414.0,Opening-Year-Forecast-poi-101326-4414.0,00:00:00,23:59:59,volume,3200
Design-Year-101326-4414.0,Design-Year-Model-Run,101326-4414.0,Design-Year-Forecast-poi-101326-4414.0,00:00:00,23:59:59,volume,3300
Opening-Year-101326-4417.0,Opening-Year-Model-Run,101326-4417.0,Opening-Year-Forecast-poi-101326-4417.0,00:00:00,23:59:59,volume,2200
Design-Year-101326-4417.0,Design-Year-Model-Run,101326-4417.0,Design-Year-Forecast-poi-101326-4417.0,00:00:00,23:59:59,volume,2400
Opening-Year-101326-4418.0,Opening-Year-Model-Run,101326-4418.0,Opening-Year-Forecast-poi-101326-4418.0,00:00:00,23:59:59,volume,2000
Design-Year-101326-4418.0,Design-Year-Model-Run,101326-4418.0,Design-Year-Forecast-poi-101326-4418.0,00:00:00,23:59:59,volume,2300
Opening-Year-101326-4419.0,Opening-Year-Model-Run,101326-4419.0,Opening-Year-Forecast-poi-101326-4419.0,00:00:00,23:59:59,volume,2100
Design-Year-101326-4419.0,Design-Year-Model-Run,101326-4419.0,Design-Year-Forecast-poi-101326-4419.0,00:00:00,23:59:59,volume,2100
Opening-Year-101326-4420.0,Opening-Year-Model-Run,101326-4420.0,Opening-Year-Forecast-poi-101326-4420.0,00:00:00,23:59:59,volume,3300
Design-Year-101326-4420.0,Design-Year-Model-Run,101326-4420.0,Design-Year-Forecast-poi-101326-4420.0,00:00:00,23:59:59,volume,3500
Opening-Year-101326-4421.0,Opening-Year-Model-Run,101326-4421.0,Opening-Year-Forecast-poi-101326-4421.0,00:00:00,23:59:59,volume,4500
Design-Year-101326-4421.0,Design-Year-Model-Run,101326-4421.0,Design-Year-Forecast-poi-101326-4421.0,00:00:00,23:59:59,volume,4800
Opening-Year-101326-4422.0,Opening-Year-Model-Run,101326-4422.0,Opening-Year-Forecast-poi-101326-4422.0,00:00:00,23:59:59,volume,5500
Design-Year-101326-4422.0,Design-Year-Model-Run,101326-4422.0,Design-Year-Forecast-poi-101326-4422.0,00:00:00,23:59:59,volume,6600
